kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400,kappa_12800,value_12800,error_12800
-4.0,72.928,0.09688579098864546,-4.5,132.61,0.16095652714201877,-4.0,242.5829,0.2799812975413943,-3.2,426.4116,0.554703876464691,-2.95,755.3381,1.0178393439119968,-2.7,1302.1045,1.9555525119496509,-2.25,2179.9404,3.39446153449346
-2.0,71.6035,0.0937595235068857,-2.5,131.3334,0.16299293255000777,-2.4,234.6687,0.28220251301280164,-2.0,409.894,0.5368066662551204,-1.95,713.9243,1.06742197284284,-1.9,1213.8663,1.9333242378546909,-1.65,1957.7936,3.559185181432352
-1.0,66.6246,0.10376506701434966,-1.5,125.1031,0.16732325976135878,-1.6,223.5721,0.30400342292629057,-1.4,384.8887,0.5630276787204295,-1.45,669.1795,1.0264196845079419,-1.5,1138.6158,1.8380071090410932,-1.35,1780.9939,3.376398855557729
-0.5,61.8871,0.09960764426481532,-1.0,118.1998,0.17077574543707782,-1.2,212.3634,0.3077557496233274,-1.1,356.1771,0.5728566426147363,-1.2,626.7078,1.0436004837773387,-1.3,1085.7687,1.8820542623553884,-1.2,1668.6083,3.0700232105342002
0.0,55.774,0.10457133321920134,-0.5,105.8462,0.17959428163155633,-0.8,193.6064,0.3194245866887698,-0.8,327.3999,0.5625338362575943,-0.95,571.3533,1.0031421941852106,-1.1,993.9417,1.7868396221592346,-1.05,1548.4676,3.000958068757405
0.5,50.0874,0.09986238817574003,0.0,91.465,0.1795506159131313,-0.4,169.8555,0.30567884632065717,-0.5,287.1892,0.5677946841624296,-0.7,500.5947,0.9709908207839492,-0.9,906.8711,1.7948576010383015,-0.9,1419.0101,2.977525611094405
1.0,45.2126,0.09647710290932142,0.5,77.7639,0.15956626172672417,0.0,144.9563,0.2985118841040359,-0.2,247.7644,0.510563356376841,-0.45,439.3149,0.8737209434402485,-0.7,804.0485,1.5744687766867775,-0.75,1266.9337,2.5666415441423296
1.5,42.8834,0.08634828421101473,1.0,70.002,0.1452879343670102,0.4,124.538,0.2588305076570457,0.1,216.3327,0.4530973087729132,-0.2,383.2732,0.8386879224348157,-0.5,694.3499,1.421080611375607,-0.6,1129.517,2.3628640624625077
2.0,41.4929,0.09297512087807307,1.5,63.9692,0.13288610181040134,0.8,108.6778,0.23466788852534776,0.4,186.305,0.3846677064093945,0.05,329.5058,0.6924247248689562,-0.3,608.4043,1.2491585489200692,-0.45,1008.255,2.1565396669818955
3.0,39.8218,0.09044521913680513,2.5,60.5926,0.13797311304947987,1.6,95.908,0.20291098643981323,1.0,152.4281,0.331782830997906,0.55,260.7702,0.5429171104946579,0.1,480.1327,1.0525388646989242,-0.05,768.3454,1.6403906057418902
5.0,39.1322,0.08527814218364675,4.5,58.7228,0.12614456718218037,3.2,87.7359,0.34309195266171905,2.2,133.5068,0.7176360192827362,1.55,204.1389,0.6539876672340034,0.9,338.4208,0.7539693435363166,0.55,556.0984,1.2012151606224846
