kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,75.0898,0.09820261053595315,-4.5,136.1499,0.15709932985790154,-4.0,243.9339,0.29938479222942865,-3.2,435.1407,0.535150353368379,-2.95,764.1112,1.0264565149695164,-2.7,1322.686,1.919287209118355
-2.0,72.6029,0.09831263142392987,-2.5,132.478,0.16212826309973088,-2.4,238.2195,0.2893229047031983,-2.0,415.6174,0.534309454215312,-1.95,720.9283,1.0557376583640115,-1.9,1239.4669,1.938033781510074
-1.0,67.2714,0.09974171220840507,-1.5,125.3062,0.16886127535176151,-1.6,226.8362,0.29850925146963664,-1.4,383.5171,0.5659054231125721,-1.45,667.4184,1.0272277544969246,-1.5,1145.6972,1.9071659748124494
-0.5,62.7273,0.10017624638355874,-1.0,118.385,0.18274001700134973,-1.2,213.8541,0.321223167145555,-1.1,362.1774,0.5731319709719056,-1.2,638.5911,1.0263884038240423,-1.3,1082.8621,1.8035610672728941
0.0,55.9343,0.1037312662722403,-0.5,107.5662,0.17628694536824674,-0.8,196.5267,0.2963787956897972,-0.8,329.7288,0.5533462702542722,-0.95,584.4045,1.0203989020039168,-1.1,1002.2628,1.851568975569221
0.5,49.981,0.10328191901075683,0.0,91.9132,0.1790252692346378,-0.4,170.8996,0.30988120497168675,-0.5,291.0877,0.5568799517061578,-0.7,504.0985,1.0030922313188764,-0.9,905.3684,1.709649662723063
1.0,45.1852,0.09343560301845018,0.5,79.2892,0.15909747919714803,0.0,145.2597,0.2960803677520145,-0.2,248.9873,0.5210928462380194,-0.45,440.9152,0.8856974350173468,-0.7,797.6752,1.5941293751239096
1.5,42.8251,0.09401581765303622,1.0,70.3812,0.1476454564550221,0.4,125.9401,0.25975351204798236,0.1,216.3904,0.45807378175089614,-0.2,383.0969,0.7950591425283202,-0.5,706.455,1.5121457236050935
2.0,41.2326,0.08904291302714866,1.5,64.7223,0.13565842632340433,0.8,110.891,0.23464315009007647,0.4,190.8892,0.39435118590644014,0.05,331.3095,0.7128017148135102,-0.3,615.0256,1.2708836035127957
3.0,39.7422,0.08899420339543468,2.5,60.9386,0.13430827427276448,1.6,97.755,0.21556074100599362,1.0,156.4971,0.3435156519635374,0.55,268.5173,0.5733390780124155,0.1,488.3038,1.055581726126614
5.0,39.6958,0.08803576700564522,4.5,59.0001,0.1331818037765188,3.2,88.1827,0.27808828023417953,2.2,134.0314,0.2821444405366967,1.55,205.3014,0.4311922344996982,0.9,342.2326,0.7652738374251657
