kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,9.7018116078827,0.06879846624251244,-4.5,16.081234113060475,0.11202989716340726,-4.0,29.668396521639263,0.20372889772806838,-3.2,54.34030723513662,0.3693754637172152,-2.95,103.61656080823843,0.6392059887412047,-2.7,191.4556463791367,1.2194300314037179
-2.0,9.74171964799696,0.06774414717261378,-2.5,16.495003016442624,0.11640785781963187,-2.4,29.52978361861218,0.19612236656083246,-2.0,54.26170519348844,0.37433164545062625,-1.95,104.8679230615288,0.6710552020080873,-1.9,192.82156342048987,1.2356641832242903
-1.0,10.01000309971009,0.06769179941514454,-1.5,17.48050337833084,0.12548072525248652,-1.6,29.896075780856414,0.20670541032267556,-1.4,56.76796603531589,0.376899697910056,-1.45,106.6943480688222,0.689700295768769,-1.5,193.0269251983908,1.182742176086059
-0.5,10.364973612016472,0.06925694834134577,-1.0,17.878773449373014,0.1225331641483534,-1.2,31.008324121217523,0.2071967544499445,-1.1,56.84476811463128,0.3734605817269143,-1.2,103.32322328323369,0.6653611352082314,-1.3,188.42351717811815,1.1978552240868363
0.0,10.522530868359928,0.07037806394759141,-0.5,17.900644146680495,0.12164052322035673,-0.8,31.43321955891862,0.2102364513656296,-0.8,57.22368483041403,0.3680408235593032,-0.95,104.08292177495076,0.6622493643840723,-1.1,184.76363899964093,1.2032225716805707
0.5,10.277412199583708,0.07093094133110606,0.0,17.65649571529114,0.11354141644899839,-0.4,31.74713385316522,0.21053458037199366,-0.5,55.075825398847506,0.366215987497824,-0.7,97.56655534055767,0.6364108131362051,-0.9,175.97995958647564,1.1863623600702695
1.0,9.475593894208679,0.06206979263617902,0.5,16.06235235811765,0.11026045990239253,0.0,29.102975006439163,0.19758455601625552,-0.2,50.545999134578906,0.3434125182127101,-0.45,89.05042058688252,0.587002959663229,-0.7,161.27948168344668,1.1485909607072844
1.5,9.253684296392747,0.06710127464115367,1.0,15.028269076881234,0.10922370080237417,0.4,26.03804351254134,0.18063624261628802,0.1,44.96059534029032,0.3213848981728099,-0.2,78.7979823510238,0.5409625675630536,-0.5,144.07527665610903,0.9858289090789586
2.0,8.98862485465256,0.06941032579584287,1.5,13.914321526555094,0.1052867977605018,0.8,23.5773431096638,0.17370173089432936,0.4,40.54842464059588,0.27649383191412713,0.05,69.53964398786204,0.48833571264626946,-0.3,128.88114361518504,0.9151277478065036
3.0,8.824994459642527,0.06335228677912894,2.5,13.264427034080827,0.09948487513101442,1.6,21.62784204110839,0.15992823545735055,1.0,34.136797208911794,0.261817323182285,0.55,57.120820893330595,0.42381331456512994,0.1,103.55047259958575,0.7513974325924626
5.0,8.90767068428677,0.06531395396380901,4.5,12.884063796022977,0.09735842377102429,3.2,19.55544840360933,0.20714820499914352,2.2,28.473877330090136,0.20942749900340488,1.55,43.264428103395886,0.315373847781335,0.9,73.96709004875768,0.5484834492280776
