kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,-0.005651885393129594,0.0002962418308613267,-4.5,-0.0028326649939808663,0.00021710533850642007,-4.0,-0.0015508885255175028,0.0001547589054752673,-3.2,-0.0008044308410129783,0.0001112798363704076,-2.95,-0.0003461455324906606,7.475739529797761e-05,-2.7,-0.0002002994587828404,5.2126365369199395e-05
-2.0,-0.006075606349700463,0.00029715114063363316,-2.5,-0.0027803765556647314,0.00021497298441187148,-2.4,-0.0016090081640525306,0.00014652028262455156,-2.0,-0.0006561391368102413,0.00011093117308473961,-1.95,-0.00039253674808313035,7.557747488700685e-05,-1.9,-0.00026875523764627573,5.63731526731129e-05
-1.0,-0.005719437587845988,0.00031179457723577855,-1.5,-0.0028020521801050183,0.00021556471978134248,-1.6,-0.0013780347104256276,0.00014984404703298552,-1.4,-0.0007039947614454292,0.00010792459493487134,-1.45,-0.00035836437032654494,7.618662481301233e-05,-1.5,-0.0002465374858460791,5.25084756513049e-05
-0.5,-0.005592728724174077,0.0003122213584729212,-1.0,-0.002929057920534255,0.00021713698259156772,-1.2,-0.0016299855880105522,0.0001565769286280465,-1.1,-0.0006371155657672171,0.00010658760470648919,-1.2,-0.00047437976239435287,7.716137416515749e-05,-1.3,-0.00021023199857775877,5.372182741711634e-05
0.0,-0.004821527455240122,0.00029568556962230555,-0.5,-0.002923479636252625,0.00021489958636257926,-0.8,-0.0014136643884315298,0.00015376460198358893,-0.8,-0.0008063819323596606,0.00010887122090901198,-0.95,-0.00027437349756986905,7.683513018497857e-05,-1.1,-0.0001564300761451265,5.3254411600119455e-05
0.5,-0.004543120083576008,0.000306785988891498,0.0,-0.0029097766482393947,0.0002185995815219668,-0.4,-0.0013431056519644052,0.00014943075516592012,-0.5,-0.0006022284292594303,0.0001053272101452581,-0.7,-0.00039926182398280184,7.505594669023204e-05,-0.9,-0.00025902659394105474,5.276757629363045e-05
1.0,-0.004137617891587982,0.00029364508225263134,0.5,-0.0025441323834700575,0.0002110701831839725,0.0,-0.0011489965698610767,0.00015467414969435003,-0.2,-0.0005431015067631145,0.00011246547841534029,-0.45,-0.0003369328505934343,7.534437392783022e-05,-0.7,-0.00016008138939525084,5.457389576174945e-05
1.5,-0.003660668991238832,0.000273440955513933,1.0,-0.0015873553575015908,0.0002094524680792644,0.4,-0.0012168764943588412,0.00015423341272050774,0.1,-0.0005694987567441105,0.00010698691810755848,-0.2,-0.00023348742915828765,7.842126320236203e-05,-0.5,-0.00017680944796855577,5.441143105930253e-05
2.0,-0.002596946634003598,0.0002496880821634734,1.5,-0.0018097300101705199,0.000194362614401495,0.8,-0.0010713206490502029,0.00014890124538661763,0.4,-0.0006722964772760178,0.00010559438864915185,0.05,-0.0003856570322976975,7.491742649595577e-05,-0.3,-0.00015317010450485022,5.337737384946837e-05
3.0,-0.0018371185786494064,0.00020353347012400786,2.5,-0.0009900015606219231,0.00015698094592866705,1.6,-0.0008662695326926102,0.000129960652808178,1.0,-0.0005549609242959322,0.000106104488986252,0.55,-0.00013373743863261228,7.30620592743607e-05,0.1,-0.0002528207103998355,5.343075945449167e-05
5.0,-0.00045054383716563215,0.00012108745602980353,4.5,-0.0003231212483917167,9.558237759672553e-05,3.2,-0.0005018598896832934,9.254711143317448e-05,2.2,-0.0002940805907940837,8.959373732302282e-05,1.55,-9.843431957714596e-05,6.675619602470772e-05,0.9,-0.0002066053122803545,5.236774602546453e-05
