kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.029793850725491188,0.00020518921563128704,-4.5,0.02115937315837161,0.00015221586308689287,-4.0,0.015084110971967801,0.00010697025732864727,-3.2,0.010765816966939302,7.743220723509303e-05,-2.95,0.007606745135630266,5.6339917713440116e-05,-2.7,0.005317920984738294,3.766794104038196e-05
-2.0,0.029913945824016137,0.0002136051052120372,-2.5,0.021269366886794285,0.00015574294725779152,-2.4,0.01507674622806023,0.00010470146052601043,-2.0,0.010641547363340149,7.632964434260596e-05,-1.95,0.007709921032381267,5.631790215292191e-05,-1.9,0.005456406963555551,3.724930044804303e-05
-1.0,0.030525622187973004,0.00020676712653594276,-1.5,0.02159922052852268,0.00014918089615841284,-1.6,0.015330014323056931,0.00010508710265609012,-1.4,0.010801321902776596,8.151021852476352e-05,-1.45,0.007622186875768704,5.3320540359733634e-05,-1.5,0.0054068369660795245,3.7557342880476405e-05
-0.5,0.030607364106585922,0.00021234197919157093,-1.0,0.021362782530308284,0.00015906509561155145,-1.2,0.015344984763582285,0.00011013849727260808,-1.1,0.010823921591041969,7.749920222618245e-05,-1.2,0.007714374343850593,5.460232523478077e-05,-1.3,0.005446604534020533,3.979753208605157e-05
0.0,0.030749197977048774,0.00020551950543381403,-0.5,0.02179943235376229,0.00015227705177221177,-0.8,0.015271852349153552,0.00010681683440881575,-0.8,0.010801261498822294,7.559321516459012e-05,-0.95,0.007628397663744264,5.461537757710326e-05,-1.1,0.005390421778811855,3.833996096788466e-05
0.5,0.030332116797346285,0.00021636009770727895,0.0,0.021548585610712365,0.00015028316281600422,-0.4,0.015410916376998157,0.0001113469983088758,-0.5,0.01086744313596584,7.659723870093774e-05,-0.7,0.007670587708609917,5.2911212554095813e-05,-0.9,0.0053880871568035525,3.7522822590569016e-05
1.0,0.029429514031122903,0.00021101209807710864,0.5,0.021364515161401143,0.0001536177611944057,0.0,0.015324794427616957,0.00010858098361850606,-0.2,0.01090035858249693,8.218979169502896e-05,-0.45,0.007664822309405925,5.136590776728815e-05,-0.7,0.00544979315412648,3.90468762160891e-05
1.5,0.02753957308923685,0.00020032982928223515,1.0,0.020405341186699545,0.00014517637634720932,0.4,0.015157784679646015,9.759462948830804e-05,0.1,0.010691001452906742,7.38141867153368e-05,-0.2,0.007606793114474929,5.17693921622131e-05,-0.5,0.005434007182858752,3.901287913014651e-05
2.0,0.025382616357377877,0.000194315160576856,1.5,0.019158120697099996,0.00013511213838596857,0.8,0.014604654527286279,9.915844512194037e-05,0.4,0.010623468175147855,7.271943472022427e-05,0.05,0.007738958948537726,5.1740668429924966e-05,-0.3,0.005386426040875714,3.686493871102769e-05
3.0,0.020279754559702885,0.0001518876889991002,2.5,0.015932975217559733,0.00011571265185468345,1.6,0.013352913212982705,9.681988043387335e-05,1.0,0.010328194748031866,7.678543278888497e-05,0.55,0.007462025561744234,5.400674871524279e-05,0.1,0.005427660688867242,3.814971089678348e-05
5.0,0.012555479479030148,0.0001147853088087937,4.5,0.009772077948251693,7.570377076827377e-05,3.2,0.009604361870436423,7.129613151323469e-05,2.2,0.008575385502799484,6.043886642184342e-05,1.55,0.00679247408562243,4.698166462243523e-05,0.9,0.005186071672779675,3.592358441216579e-05
