kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,42.8562,0.0970672340588617,-4.5,64.4866,0.14894253654222386,-4.0,97.0763,0.2213803838014836,-3.2,142.4149,0.3209442267388328,-2.95,204.4461,0.47630084573303677,-2.7,284.995,0.6505991437000388
-2.0,41.7562,0.10173463946787074,-2.5,64.0646,0.1456716983049455,-2.4,95.5884,0.21886456942149887,-2.0,138.3543,0.3125490507746584,-1.95,201.3688,0.4387075853994289,-1.9,284.0004,0.6313603925090153
-1.0,40.093,0.08938572013696824,-1.5,62.0087,0.14348493285636932,-1.6,93.7398,0.2049898768671467,-1.4,136.6852,0.3046183998747489,-1.45,200.5815,0.4490941802647949,-1.5,288.384,0.6415820335284774
-0.5,39.7939,0.0905730212366018,-1.0,61.9528,0.14609623880340833,-1.2,91.9111,0.2035161676876319,-1.1,133.7714,0.29956393203678144,-1.2,197.3168,0.43462540579653625,-1.3,282.0902,0.6260172292189955
0.0,39.6005,0.08834470518443152,-0.5,59.2861,0.13462867783550322,-0.8,89.0134,0.20178160503497447,-0.8,128.9341,0.2989311425542326,-0.95,192.7856,0.42435964325861253,-1.1,278.3783,0.6014887119675522
0.5,39.7949,0.08705756743493169,0.0,58.4591,0.13310686600355112,-0.4,86.084,0.19388214695032166,-0.5,127.0187,0.290544720916768,-0.7,188.4081,0.4200444701791919,-0.9,274.1959,0.6114344403890697
1.0,40.0152,0.09180334079373623,0.5,59.6598,0.1370627432945929,0.0,85.79,0.18680318709901697,-0.2,128.4891,0.29489802042747243,-0.45,185.7073,0.4049905866055153,-0.7,266.2361,0.5922121172725909
1.5,40.2025,0.09364469473927936,1.0,60.0066,0.13245394009498807,0.4,86.442,0.1891195479503028,0.1,125.1283,0.2766217900961454,-0.2,182.4471,0.4017767164973096,-0.5,262.0785,0.5752317977862274
2.0,40.4122,0.09439472247080523,1.5,59.4917,0.13224306494684906,0.8,86.4176,0.19913030064918963,0.4,127.4097,0.2831995864865911,0.05,181.1863,0.38763283799363657,-0.3,264.3709,0.5686688587003553
3.0,40.511,0.09277712171280862,2.5,60.2934,0.1347004765181407,1.6,89.6398,0.20833453763293952,1.0,126.8835,0.27636283443983484,0.55,183.2695,0.38974927858010694,0.1,265.3206,0.604060421825504
5.0,41.3789,0.09696621949794541,4.5,60.659,0.13630345488138804,3.2,88.8117,0.27170351607085474,2.2,128.8813,0.27340277598202023,1.55,181.6918,0.3712936015046157,0.9,261.8426,0.790509508229092
