kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.0010307400585221854,0.0002584147898926677,-4.5,0.0002973040182796869,0.00017328822220483687,-4.0,0.00016122832010497223,0.00012893141467015443,-3.2,-2.130537451703385e-06,8.695145588112127e-05,-2.95,2.446177425424939e-05,6.241813562531314e-05,-2.7,5.0778545329321156e-05,4.387230609928662e-05
-2.0,0.0007728271689881916,0.0002543289277385992,-2.5,0.00029981666726413864,0.0001763291797883939,-2.4,0.00014339955138599798,0.0001269974530059509,-2.0,0.00014910857224475214,9.249542930781516e-05,-1.95,5.009409675012391e-05,6.507597789447911e-05,-1.9,7.4077350607567485e-06,4.4751202119434646e-05
-1.0,0.0004695037720479245,0.00024154704717234217,-1.5,0.00031126795978086286,0.00017864558469504364,-1.6,7.936092076853974e-06,0.00012726903001332194,-1.4,2.3883087672677618e-05,9.101438998064041e-05,-1.45,-2.5335356732260004e-05,6.659658301403604e-05,-1.5,7.062578125953318e-05,4.488729320505532e-05
-0.5,0.0008687802522143377,0.00024608397167336625,-1.0,0.00044043564392353237,0.0001835777770998958,-1.2,0.00011650160643982285,0.00012752241057634113,-1.1,0.0001440697220655286,9.065073820976104e-05,-1.2,-6.468558029660787e-06,6.546427178244618e-05,-1.3,5.239485160905065e-05,4.461755213621151e-05
0.0,0.0003180255352990953,0.00023406863215037052,-0.5,0.0001953293007017684,0.00018022566287678217,-0.8,-0.00010536751535796603,0.00012849377889057043,-0.8,8.634269824371168e-05,8.777990996783807e-05,-0.95,7.021945007393712e-05,6.324649124684101e-05,-1.1,1.6350303012741974e-05,4.2646592075710235e-05
0.5,0.0008139237724211211,0.00022613292668577752,0.0,0.00033230426375346065,0.00016688950181019085,-0.4,0.0003965958357380699,0.00012199658944108779,-0.5,0.00010270559702408626,8.895040914435289e-05,-0.7,4.025721983924956e-05,6.171625982761212e-05,-0.9,2.9011215505855515e-05,4.33348082791394e-05
1.0,0.00029158873291601484,0.00021591304703796045,0.5,7.608695390239176e-05,0.00016410804074850445,0.0,5.490000086167401e-06,0.00012624179797349446,-0.2,-4.956458044146085e-05,8.68630413974756e-05,-0.45,9.127630556770815e-06,6.135991835122804e-05,-0.7,-4.063382837890004e-05,4.3383029242346074e-05
1.5,0.0004081326079801988,0.00019501483171715205,1.0,-0.00018784668943730448,0.00015325785509555357,0.4,-2.5223780209258994e-05,0.00011744904636896662,0.1,4.885579905431525e-06,8.608787694960392e-05,-0.2,7.455760429752746e-05,6.290384215445643e-05,-0.5,-9.721546957628058e-07,4.5095494142678315e-05
2.0,0.0002792129327520522,0.00017585969216753444,1.5,0.00021335005962753683,0.00013764213666561429,0.8,3.108602038329977e-06,0.00011219178793999104,0.4,5.100395127452407e-05,8.677794565889083e-05,0.05,7.768337156143235e-05,5.918339187204723e-05,-0.3,2.7196893891590222e-05,4.18081761948545e-05
3.0,8.695350086164784e-05,0.0001436098092196904,2.5,-6.638238758171714e-05,0.0001137888024555896,1.6,-7.315624790379054e-05,9.515645533827657e-05,1.0,-3.0492758444597113e-05,7.654659274468204e-05,0.55,7.778309922080392e-05,5.7427936093816385e-05,0.1,4.715048371251292e-05,4.325753575698148e-05
5.0,-3.88735496456377e-05,8.502041246352762e-05,4.5,6.804823596293891e-05,6.80996940499218e-05,3.2,-9.652739742152528e-07,6.729706873683708e-05,2.2,3.168192358178276e-05,5.9958378646056774e-05,1.55,-6.12657831348814e-05,4.759967233257951e-05,0.9,8.2552640965179e-05,4.0109727595738994e-05
