kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.024775063529688144,0.00017726774064347713,-4.5,0.017640675326000693,0.00012784185341095102,-4.0,0.012822398604945953,9.205258747339477e-05,-3.2,0.009022591871590921,6.503238657427487e-05,-2.95,0.006337994810633176,4.645140714779562e-05,-2.7,0.004508186802071338,3.112444321926094e-05
-2.0,0.025202954351820395,0.00017619714241162764,-2.5,0.017912662027456838,0.00012833706852256692,-2.4,0.012689142344624383,9.317782519400534e-05,-2.0,0.00897744970996954,6.0654608750596066e-05,-1.95,0.0062992542023295505,4.3949857555842874e-05,-1.9,0.004505973103973751,3.3447599021854757e-05
-1.0,0.02514854996941599,0.00018107741083091833,-1.5,0.01790545662096531,0.00012405510447252796,-1.6,0.012508296482188529,8.680555403347216e-05,-1.4,0.008907830786257722,6.444161898351537e-05,-1.45,0.006270653335841058,4.348340410021495e-05,-1.5,0.004481517915707306,3.367349067651e-05
-0.5,0.024929080315892013,0.0001709534112785827,-1.0,0.017839772307245334,0.00012313829451415255,-1.2,0.012622895718150033,8.961127235807748e-05,-1.1,0.008838811444770509,6.247874615620076e-05,-1.2,0.006281477569049993,4.4844418772216685e-05,-1.3,0.004509302288542742,3.1084935920973896e-05
0.0,0.024198145752721226,0.00016264242805615937,-0.5,0.017623980441188583,0.00012213613141335994,-0.8,0.01263238397079311,8.960720775714489e-05,-0.8,0.00886512718533006,6.380956552240431e-05,-0.95,0.006254910090901539,4.3217163832417355e-05,-1.1,0.004454614664374752,3.127398542169827e-05
0.5,0.02286489709520787,0.000162760126784169,0.0,0.017015065717621694,0.00011451571775501906,-0.4,0.012178147250344818,8.376257095808974e-05,-0.5,0.008645867666992168,5.9333232821816035e-05,-0.7,0.006257370869307438,4.531031057977089e-05,-0.9,0.00450190820864259,3.153677255780914e-05
1.0,0.021613482530982386,0.00015856207507274064,0.5,0.01650579237587684,0.00011567425283727627,0.0,0.012124846122620391,8.681518252930935e-05,-0.2,0.008655034563579394,6.171400300768607e-05,-0.45,0.006128482931012961,4.2665642210519057e-05,-0.7,0.004395232539838046,3.132998268404684e-05
1.5,0.019739921107665585,0.00014549121046509626,1.0,0.014981090377645674,0.00010925508489540751,0.4,0.011631049543794753,8.078385520739949e-05,0.1,0.0084801127768885,5.885646321902016e-05,-0.2,0.006166918096602432,4.5595377590323266e-05,-0.5,0.004392975944492872,3.0681443175933275e-05
2.0,0.01770605370717013,0.00013220544351073995,1.5,0.013975034751465786,0.0001002228449568114,0.8,0.01117273319016781,8.541649807498146e-05,0.4,0.008200045944176212,5.901158044485158e-05,0.05,0.005980907508488471,4.341721178328218e-05,-0.3,0.00436268387596079,3.112578324383894e-05
3.0,0.014018181723988506,0.00011453767518003892,2.5,0.01123004587105121,8.267410032896665e-05,1.6,0.009643040338393308,6.82897551262005e-05,1.0,0.0076184529807363744,5.18434359264088e-05,0.55,0.005678399037215134,4.001282235314907e-05,0.1,0.004199971798809867,3.071921082293333e-05
5.0,0.008536086376203851,7.882393533092212e-05,4.5,0.006811170510415111,5.360499281739742e-05,3.2,0.0067007707830191434,5.0596694725945054e-05,2.2,0.00594688557434796,4.113298698037935e-05,1.55,0.004832919480755973,3.330732933234842e-05,0.9,0.0038593671159124956,2.664627950425482e-05
