kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,93.4688,1.216707687910029,-4.5,157.6954,1.3474982683677397,-4.0,246.7533,1.3940420088486976,-3.2,382.5465,1.6189298713691762,-2.95,657.8503,1.9505843338375033,-2.7,1122.5138,2.755255599664215
-2.0,73.0755,0.7797286618928256,-2.5,128.3507,1.1357424068285418,-2.4,203.1921,1.1905592631660435,-2.0,323.8226,1.496557149511122,-1.95,550.1426,2.55587479440458,-1.9,975.3262,2.280391896677406
-1.0,58.9099,0.6959608189586002,-1.5,102.4049,1.2898452227117447,-1.6,175.2658,1.4470602876818102,-1.4,264.6442,2.307587544029381,-1.45,461.4151,4.087021842497789,-1.5,821.419,9.43649565555362
-0.5,48.878,0.6518829969630202,-1.0,87.4664,1.0654821231624576,-1.2,148.6482,1.2378119857708128,-1.1,236.4816,2.380501651745812,-1.2,425.1363,4.919111948795271,-1.3,716.2233,17.846587988287936
0.0,37.9045,0.3915898412978273,-0.5,73.3904,0.952867013390098,-0.8,127.8524,1.6519624550775922,-0.8,190.3638,2.1405434800254017,-0.95,347.1408,6.052925983058667,-1.1,652.0806,10.770825440324677
0.5,31.9121,0.3598561375827928,0.0,54.9825,0.660718604022091,-0.4,98.9504,1.4372893838324694,-0.5,153.7859,2.6531411541532193,-0.7,248.4846,6.018042745080406,-0.9,488.1859,9.081047001431676
1.0,26.178,0.2339390976571952,0.5,40.0985,0.39274538935113756,0.0,71.4975,0.7775987772871304,-0.2,107.1812,1.1693376861353504,-0.45,187.1896,2.559690100980401,-0.7,364.823,6.773926952664575
1.5,23.7792,0.18594943530694302,1.0,32.8848,0.24817395770338616,0.4,54.3866,0.5442134153268751,0.1,86.3306,0.881571693471268,-0.2,142.0134,1.7838227477571234,-0.5,283.8401,4.6749799707572075
2.0,22.2791,0.1395811832183288,1.5,27.998,0.1488745818703687,0.8,43.0293,0.258875973893328,0.4,65.8591,0.43275048406445266,0.05,110.1587,0.9737866520048032,-0.3,198.363,1.815696414589993
3.0,21.3023,0.0944704964692318,2.5,25.1623,0.10820839546952944,1.6,32.214,0.12945083961859022,1.0,45.8035,0.18518717034281718,0.55,70.4693,0.2849967840749489,0.1,120.6526,0.5659043740194051
5.0,20.8634,0.08167698878348013,4.5,23.7779,0.08216742130676981,3.2,27.7118,0.08486747422482485,2.2,32.8614,0.06633136263721193,1.55,42.7051,0.12969068993445787,0.9,64.2585,0.13475073205478066
