kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.3107575273946486,0.0013188978497380968,-4.5,0.2999743616877272,0.000648370748337325,-4.0,0.28085906573038044,0.0004672225521981299,-3.2,0.2764344658415259,0.0003192894435505458,-2.95,0.27464146523367805,0.00022108654432652223,-2.7,0.2751441065380047,0.0001628804743274003
-2.0,0.2878453377610057,0.0009070750108369221,-2.5,0.2818090325598827,0.0006522662965405669,-2.4,0.2799309314931091,0.0004516897920897204,-2.0,0.2814151615458989,0.00032417595971554673,-1.95,0.28213150998726755,0.00023286370855442166,-1.9,0.2831492767529444,0.00016070580980112454
-1.0,0.3052114482721492,0.0009015338398671494,-1.5,0.2860165232823246,0.0006652692607530076,-1.6,0.28827401168666816,0.000438780768102276,-1.4,0.2911894208964359,0.0003140664931326892,-1.45,0.29079228810864277,0.00024001299317414617,-1.5,0.2897396866304391,0.00016232176347990502
-0.5,0.3252959392250614,0.0009485824220689753,-1.0,0.3012126341994559,0.0006472967813285928,-1.2,0.29509741915212345,0.0004566375901974377,-1.1,0.29908264908997073,0.00032428216115306535,-1.2,0.29646742007412824,0.00023474444423158243,-1.3,0.29423992460677456,0.00016170286929369137
0.0,0.3631269906630582,0.000961942513298831,-0.5,0.3273405756947893,0.0006449721000789208,-0.8,0.3093587778046115,0.00046352805855781094,-0.8,0.3098638101557265,0.00032304515053868665,-0.95,0.30527175549800495,0.0002336564623550326,-1.1,0.2999223656659762,0.0001654794984528767
0.5,0.420421497131144,0.001025478718573064,0.0,0.36615949113912555,0.0006871855326863361,-0.4,0.33289253904743865,0.0004411249332978083,-0.5,0.3261814633580249,0.0003286423474580974,-0.7,0.3145720359843799,0.00023287485367607988,-0.9,0.3065347623186951,0.0001601748923613496
1.0,0.48509938798949404,0.0010247874099054443,0.5,0.41779548103040326,0.000696076883863208,0.0,0.3635131232154361,0.0004823024376004855,-0.2,0.34709288678642836,0.0003314580019193659,-0.45,0.32936763687208515,0.0002326226414374148,-0.7,0.31521183866410174,0.00017244771273198993
1.5,0.5531274187046167,0.0010624702945665862,1.0,0.48332414947928865,0.0007402721327651169,0.4,0.40559639666935604,0.00048601377414994124,0.1,0.3734114308629852,0.000352361310499766,-0.2,0.34660095912443695,0.0002356135944660541,-0.5,0.3262614467568506,0.00017030497751573882
2.0,0.6255196030315231,0.0010475647434751243,1.5,0.5543065403967384,0.0007641737122619057,0.8,0.4559028508146137,0.000501666182900318,0.4,0.40608454328863336,0.00035539101158293544,0.05,0.3682310700875731,0.00024115145985583686,-0.3,0.3391136381205157,0.0001701466273572917
3.0,0.7474758540239642,0.0009838531667201264,2.5,0.688704444203229,0.0007477997178546371,1.6,0.5694780999324854,0.000542171980312818,1.0,0.4831944231688506,0.000363932632435897,0.55,0.4236878343601983,0.0002549834422311404,0.1,0.3731024574781078,0.00017407200982744896
5.0,0.896901158287446,0.0007642456251358315,4.5,0.8686001078671236,0.0005834462655127339,3.2,0.7661742401758447,0.0004994878481413086,2.2,0.6506598591593191,0.0003688690731944382,1.55,0.5610156792074377,0.0002612740774628878,0.9,0.46903004561912987,0.0001774495749068254
