kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.09497161008087072,0.0009577803740028263,-4.5,0.06556219961360582,0.0004762241069474455,-4.0,0.04582309595980555,0.00030588684048845147,-3.2,0.03253504975157547,0.00023652924794388572,-2.95,0.022617622352485614,0.00015476378017775216,-2.7,0.016117784784434246,0.00011412553993490715
-2.0,0.09196644615024246,0.0006308370105936643,-2.5,0.06423208276019376,0.00044095009780422225,-2.4,0.0460054662875477,0.00034131290217804687,-2.0,0.03245063993438126,0.00023126948416761427,-1.95,0.022788254098733685,0.00016532342976756365,-1.9,0.016211764033339737,0.00011512498599228998
-1.0,0.09206927455485454,0.0006655949822081386,-1.5,0.06402889603808666,0.0004504345559435259,-1.6,0.04514302521294595,0.0003059701341256732,-1.4,0.03237346354810548,0.00023499240529573009,-1.45,0.023022053625106845,0.00015991995415624613,-1.5,0.016225700065623433,0.00011763378765548617
-0.5,0.0946239612051968,0.0006727575528841366,-1.0,0.06553031905576838,0.0004810077042472095,-1.2,0.04570934671077576,0.00032533602056560376,-1.1,0.03294992799388665,0.00022743811013427892,-1.2,0.023145456866674435,0.00016419377464397324,-1.3,0.01623996281537922,0.00011538014829046547
0.0,0.09607280664731972,0.0006966757445624994,-0.5,0.06624452341440305,0.0004714468545681565,-0.8,0.04636808208793984,0.0003210406635268998,-0.8,0.03232930428060014,0.00023378490848874757,-0.95,0.02301423596395238,0.00016208761942271244,-1.1,0.016403744347539426,0.000112878796463429
0.5,0.09936353194304463,0.0007208703223774446,0.0,0.06790579059806201,0.0004607228864534957,-0.4,0.04695423357820038,0.00033090873103128025,-0.5,0.033142694468535086,0.00023078807905901357,-0.7,0.02326101606257944,0.00016868812671709969,-0.9,0.016384896695089014,0.00011631273177928725
1.0,0.10360978234326366,0.0006910241899202501,0.5,0.07013984180744848,0.0004877220773918778,0.0,0.04816488520203545,0.00033240777572771785,-0.2,0.03339509783493579,0.00022865417442949552,-0.45,0.02348361823633204,0.00016186724767918402,-0.7,0.01676220539555243,0.00011674312585814124
1.5,0.10656887655185755,0.0007572504349641299,1.0,0.07294834090963162,0.0005009392928109056,0.4,0.04959117711617832,0.00033886112181392855,0.1,0.03433609885762421,0.0002448080231445216,-0.2,0.0238977488324104,0.00017406362815807492,-0.5,0.01676054201298793,0.00011756945444155664
2.0,0.1040270413400768,0.0007680754557405671,1.5,0.0754170379147461,0.000542046274970204,0.8,0.05072610374581271,0.00034872060476676424,0.4,0.03543541021415299,0.0002487512226628928,0.05,0.024130154882173727,0.00016124918103345835,-0.3,0.01679511525106843,0.00012150929750681369
3.0,0.09959398582924756,0.0007068468377905481,2.5,0.07410876476725553,0.0005117938838856058,1.6,0.05256841973080034,0.0003781723762226891,1.0,0.0362547944229688,0.000251499761216616,0.55,0.024985428021439438,0.00017625198620384677,0.1,0.017127573357521145,0.00011720402323648908
5.0,0.07495908360259561,0.0005511140221037176,4.5,0.05893623201774541,0.00042242941248132524,3.2,0.0498180443292781,0.00035237979450081604,2.2,0.03718143905681182,0.000247729185264668,1.55,0.02653494430432233,0.00018737622836619203,0.9,0.018211853439297224,0.0001309967973094896
