kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,4.4852,0.09901130265810083,-4.5,5.1934,0.07804930593321521,-4.0,6.6894,0.04796225158201822,-3.2,8.1462,0.04891722944471156,-2.95,9.3229,0.035239922684091984,-2.7,10.7245,0.036686897776569624
-2.0,5.1058,0.042191089818349785,-2.5,5.7231,0.05965670211692445,-2.4,6.8648,0.06168396183999759,-2.0,7.8148,0.06075699464257589,-1.95,8.6529,0.027695945054691185,-1.9,9.6235,0.019574332563213878
-1.0,5.3996,0.03383092058957217,-1.5,5.7998,0.03460916768600363,-1.6,6.6741,0.03886485782984589,-1.4,7.3316,0.023293597733612885,-1.45,8.173,0.03380391674802642,-1.5,8.9543,0.012631672412152205
-0.5,5.7088,0.037553798712217056,-1.0,6.0643,0.045141844822226274,-1.2,6.6087,0.052862765151469836,-1.1,7.2893,0.022686847760791305,-1.2,8.1229,0.014733125422486379,-1.3,8.777,0.012806453796380922
0.0,6.1959,0.027425008452845324,-0.5,6.3121,0.02275663419642609,-0.8,6.6473,0.02181621991549871,-0.8,7.3632,0.016406223809874713,-0.95,7.9781,0.013333127433845637,-1.1,8.5434,0.008750648410695479
0.5,6.756,0.018766525244427925,0.0,6.7501,0.026538582316155312,-0.4,7.0003,0.018479550597086232,-0.5,7.4504,0.014865621848174847,-0.7,7.9282,0.00988545101306622,-0.9,8.4389,0.009011384660167009
1.0,7.4427,0.023842214645019438,0.5,7.5309,0.021757618094017682,0.0,7.4491,0.012420034601380919,-0.2,7.7792,0.011530491732775296,-0.45,8.0919,0.010147974403519876,-0.7,8.4214,0.009767066951589791
1.5,8.1484,0.017551275568005446,1.0,8.4958,0.017694047646372838,0.4,8.1368,0.014357689826959171,0.1,8.3008,0.012766108470692464,-0.2,8.3648,0.011334794302142046,-0.5,8.58,0.010202419615268013
2.0,8.6442,0.01936664105584099,1.5,9.208,0.018740132542960544,0.8,8.9076,0.016314712924774908,0.4,8.9182,0.013897011978909031,0.05,8.843,0.012681738052808067,-0.3,8.8179,0.010590674141374035
3.0,9.2285,0.020718262214268344,2.5,10.2481,0.020796861528592198,1.6,10.549,0.02067412326103847,1.0,10.3615,0.016266105133565807,0.55,10.0583,0.014975004427298077,0.1,9.5893,0.01256741109304465
5.0,9.5634,0.020563431485636444,4.5,11.0394,0.023481054872554762,3.2,12.0054,0.022129976046978427,2.2,12.5788,0.022253217099135584,1.55,12.6509,0.019363765134657818,0.9,11.9468,0.01714625153004385
