kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.749691378979625,0.06756021552827055,-4.5,0.6965952659159045,0.05503044957245727,-4.0,0.6976935700088995,0.03347492866966851,-3.2,0.8339634941116734,0.03725186067086971,-2.95,0.8298821967279721,0.025164143984655604,-2.7,0.93951477838397,0.027752561928733578
-2.0,0.8032875494421091,0.033501007191214946,-2.5,0.8215192507713612,0.05434474955588236,-2.4,0.89777589639955,0.0428901178881526,-2.0,0.9388232522205078,0.048428380089087696,-1.95,0.8713767955092534,0.022826998110628917,-1.9,0.8725960648485865,0.014968701152186818
-1.0,0.9235827740457546,0.025903485066177383,-1.5,0.8531076950033492,0.02694455581667055,-1.6,0.8660047265567562,0.03102688745370098,-1.4,0.8760811559548474,0.018938248863990297,-1.45,0.9794727850704527,0.034562085534704676,-1.5,0.8636469756850081,0.009541362287198167
-0.5,1.0622219125677805,0.03250127794061764,-1.0,1.006611561966019,0.041132439596264045,-1.2,1.0041340241789696,0.05542434488169347,-1.1,0.9393049235333205,0.01787612209326152,-1.2,0.9172130166824919,0.013465086434967051,-1.3,0.9040756247535532,0.010242595366338201
0.0,1.210978875531567,0.024360629866962667,-0.5,1.006675185694447,0.019620197389929008,-0.8,0.9753962527019358,0.02139054138994675,-0.8,0.9610297174446695,0.014018847159148097,-0.95,0.9317227059163429,0.010737386172837714,-1.1,0.8794280979010948,0.0080105761186681
0.5,1.3878244145642367,0.018469908872575578,0.0,1.2718536673592278,0.024723261685210333,-0.4,1.087390524059862,0.01801328295140742,-0.5,1.0552967379464946,0.015160395360830492,-0.7,0.9678524855800003,0.009657367278985418,-0.9,0.9051788358509535,0.008031701899170886
1.0,1.675767743380023,0.02308769361772104,0.5,1.4726377885296915,0.020617363668519538,0.0,1.2293739569523192,0.011386595546053584,-0.2,1.1210588910952584,0.010599736774609871,-0.45,1.0372858748670106,0.010253194856778032,-0.7,0.9463147421228923,0.008978392236110312
1.5,1.817335332505005,0.01805578949598712,1.0,1.7190339926210823,0.01681581289996125,0.4,1.4222826894836627,0.014101522509356,0.1,1.292086029887663,0.01281875655474403,-0.2,1.1219834422505834,0.011172871182528254,-0.5,1.0028462345030797,0.009441105523267405
2.0,1.9138371501420195,0.017999906879833036,1.5,1.8689797507011288,0.017793749455142963,0.8,1.5967833953674406,0.016893983646695122,0.4,1.418206575569687,0.014115731932974888,0.05,1.257660196920095,0.013325160314264478,-0.3,1.0851070618761882,0.010610223512547659
3.0,2.073045465432482,0.022505006817584824,2.5,2.0825417373989894,0.021996822952779875,1.6,1.9970973536069738,0.020688291486245323,1.0,1.7358338232406323,0.01780966359620094,0.55,1.502639977735941,0.015223190291885036,0.1,1.2357095968797775,0.01228586390031616
5.0,2.1075162164169097,0.02093330444442423,4.5,2.309454697130864,0.021285028535354543,3.2,2.2835700797722245,0.021847407028869077,2.2,2.1927314854164686,0.02154351721476845,1.55,2.0070455932044293,0.020331637130885347,0.9,1.7149530216267266,0.017716069564187618
