kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,-0.03698986224992443,0.0006250825939812304,-4.5,-0.037776440724855004,0.00030923420768366283,-4.0,-0.04203642132523188,0.0002201661950296525,-3.2,-0.047388232783935565,0.00015818867076615147,-2.95,-0.049549732565858436,0.00011610572632766972,-2.7,-0.05150780264622041,8.085417720910054e-05
-2.0,-0.05446067564088782,0.0006576881079148877,-2.5,-0.05119107801144894,0.0003134744804462699,-2.4,-0.05365744345365466,0.00023975215452990553,-2.0,-0.0581750397692769,0.0001670768696043211,-1.95,-0.05892036875745295,0.0001108973321039108,-1.9,-0.05955365605028843,8.188700442669328e-05
-1.0,-0.07360557984820741,0.00045110481090898793,-1.5,-0.06501276975225272,0.00031494839183270767,-1.6,-0.06377259320447538,0.0002257156125813339,-1.4,-0.06726046771809278,0.00016183485360073968,-1.45,-0.06609823485765598,0.00011081273104888566,-1.5,-0.06540584895034826,7.898291554746947e-05
-0.5,-0.08602678038896687,0.0004795796820278159,-1.0,-0.07553945489934716,0.0003247938603251662,-1.2,-0.07074894728403973,0.00021760302150255792,-1.1,-0.07243557029879237,0.00015538559273650695,-1.2,-0.07061551175618412,0.00011286121972003815,-1.3,-0.06878192229967929,7.953670324723446e-05
0.0,-0.09970374674975889,0.00045681721168607913,-0.5,-0.08541161111753892,0.0003273995766765831,-0.8,-0.07868015032438813,0.00022673243623410447,-0.8,-0.07870324638004983,0.0001641938391942549,-0.95,-0.07548932911884317,0.00011363209591066239,-1.1,-0.07258506919339773,8.11013386562341e-05
0.5,-0.11329336583371064,0.00043174738483233913,0.0,-0.09918591403861544,0.0003171096835401337,-0.4,-0.08753391985938733,0.00022468869224731783,-0.5,-0.08542952090000501,0.0001629850820187861,-0.7,-0.08048086518722536,0.00011646619437983968,-0.9,-0.07651509634644856,8.238941218219315e-05
1.0,-0.1253523389328604,0.0004483361777394119,0.5,-0.11181371266376973,0.0003076058570889368,0.0,-0.09774764922461375,0.00023038004503314488,-0.2,-0.09276319937034182,0.0001594758415674012,-0.45,-0.08661527323805308,0.00010996215130335399,-0.7,-0.0807561084937357,8.087787237919413e-05
1.5,-0.13674822628889705,0.00042794137185812517,1.0,-0.12401229966550577,0.00030410764093677774,0.4,-0.10878714696624936,0.00021856833408310082,0.1,-0.10051897309651349,0.00016133007198327175,-0.2,-0.09259900567151069,0.00011685887002543624,-0.5,-0.08536074983832011,7.700288561290515e-05
2.0,-0.14575070492346964,0.00042900404084042227,1.5,-0.13542630523441682,0.00031681806355588415,0.8,-0.11883000474768374,0.00021593284992871669,0.4,-0.10823551586360154,0.00016849167674914408,0.05,-0.09888479703777804,0.00011399812263496489,-0.3,-0.09014159942284809,8.145126167300292e-05
3.0,-0.1564658805545336,0.00043079106562030626,2.5,-0.1507745466790711,0.0003067880605544827,1.6,-0.13642898326218947,0.0002072717777646271,1.0,-0.12385515329803876,0.0001576015240881461,0.55,-0.11207961607532223,0.00011423767128832641,0.1,-0.1002337720375736,8.143678810982824e-05
5.0,-0.16214731206649224,0.00041120977101687903,4.5,-0.15917374982353505,0.00028669982855345665,3.2,-0.15484160006516448,0.000217386059529516,2.2,-0.14591229374922723,0.0001561107417976439,1.55,-0.13563129327155962,0.00011418093948858443,0.9,-0.12102942124911581,7.924565039553358e-05
