kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.044756254971226005,0.00043972874259332506,-4.5,0.03215592549182152,0.00022544566380418472,-4.0,0.02260711044308677,0.00015800861337482455,-3.2,0.016102415963182983,0.0001107456953460483,-2.95,0.011382565888774456,7.73472004154169e-05,-2.7,0.00810334941646504,5.566619584081402e-05
-2.0,0.04572945689248202,0.00043909841683781493,-2.5,0.03193514506533873,0.0002293003176624424,-2.4,0.022684647301140077,0.00015920970236707726,-2.0,0.016088617979292424,0.00011267737903194005,-1.95,0.011363203676098565,7.969504762294017e-05,-1.9,0.008159616077069463,5.68753488340418e-05
-1.0,0.046574773856219144,0.00032181364362092083,-1.5,0.0322510413725602,0.00023453950595947478,-1.6,0.022836048425293003,0.000155794836553835,-1.4,0.01615321273945153,0.0001123242971339919,-1.45,0.011282393355301103,7.967086754048812e-05,-1.5,0.008095709308352107,5.5988998608040734e-05
-0.5,0.04596094117815762,0.0003324630094494922,-1.0,0.03202096855362706,0.00023239057199518498,-1.2,0.02293515850505058,0.00016586446658042433,-1.1,0.016072550610409107,0.00010928464933759456,-1.2,0.011375786837359615,8.262051182014806e-05,-1.3,0.008110536694387629,5.690398814645976e-05
0.0,0.04572767784531899,0.0003186426474519463,-0.5,0.03181313022699015,0.0002257660702294343,-0.8,0.022617942832143915,0.00016400490379741092,-0.8,0.016110720160955754,0.00011347675040192194,-0.95,0.011438131187436692,7.93956119675885e-05,-1.1,0.008035698889767563,5.575522627157592e-05
0.5,0.044914921522994075,0.0003090350416023733,0.0,0.03193098016837505,0.00022447967261045434,-0.4,0.02268126972542594,0.00015591602139344507,-0.5,0.016090918914851888,0.00011175877563982794,-0.7,0.011432367748789106,7.82699898188704e-05,-0.9,0.008036816297056751,5.4671218384454514e-05
1.0,0.044882674385023226,0.0003222219459504793,0.5,0.03170736198573417,0.00021769407061183324,0.0,0.022500787553419534,0.00015308829411580808,-0.2,0.016014998881636624,0.00010805107691627637,-0.45,0.011318248619220823,8.100831418095886e-05,-0.7,0.008030950847933468,5.8342403832935745e-05
1.5,0.043296109247415435,0.0003028673836380095,1.0,0.03136549116869373,0.00021822655195491514,0.4,0.022458284516920914,0.00016129070002661748,0.1,0.016081675126564134,0.00011208194906954535,-0.2,0.011435569943949158,7.904966442938247e-05,-0.5,0.008010065770166738,5.684995060909223e-05
2.0,0.04321064260996067,0.0003137475828244042,1.5,0.031100088393175053,0.00022640096623527734,0.8,0.022484308182770005,0.0001570065836994003,0.4,0.016177852597196573,0.00011594850213656365,0.05,0.011348042726795954,8.336918644970285e-05,-0.3,0.008073567461869836,5.6368913977037506e-05
3.0,0.04224786866534957,0.000295108234205671,2.5,0.030047062666643462,0.00021172444564864407,1.6,0.021552826142004936,0.0001541833868448144,1.0,0.015679766086067883,0.00011029653591259325,0.55,0.011286062765177941,7.986471591016671e-05,0.1,0.007920303465434934,5.569223909116489e-05
5.0,0.04130892810738891,0.000290663763337337,4.5,0.02961668594391191,0.00021278843429695904,3.2,0.021046255697465988,0.00014735152514694372,2.2,0.01506200712928003,0.000102714984781538,1.55,0.01100570375426953,7.657289867926058e-05,0.9,0.007836404527810844,5.493342830128837e-05
