kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,25.872,0.44761899194063015,-4.5,44.0991,0.802350735384291,-4.0,63.3062,0.7281875462624595,-3.2,86.7547,1.1335920341053156,-2.95,140.073,1.077845420781584,-2.7,217.3032,2.251287234348029
-2.0,18.7722,0.2397530042429573,-2.5,34.4169,0.560294190133771,-2.4,51.8715,0.6561468011440057,-2.0,76.964,0.9044627706744132,-1.95,116.4771,1.65442125583087,-1.9,192.8638,1.8210071285396785
-1.0,13.7801,0.2056391423499583,-1.5,25.012,0.37784835096298297,-1.6,44.7643,0.6348227938999946,-1.4,62.2392,1.182339068587923,-1.45,96.846,2.08834496045734,-1.5,162.5757,4.089877173880827
-0.5,9.9352,0.2005101802397568,-1.0,20.2951,0.3780533894998857,-1.2,36.0474,0.663938529586753,-1.1,54.2193,1.2416768973060366,-1.2,90.1779,2.018349091064108,-1.3,134.2073,2.8320993372356402
0.0,6.3395,0.10757405097770444,-0.5,14.5514,0.25227170932239795,-0.8,28.8195,0.7146339708634565,-0.8,40.1384,0.543106392337596,-0.95,72.434,1.8507453609068405,-1.1,125.9244,2.960696107918039
0.5,4.5607,0.08128635655374025,0.0,9.7509,0.1670692658370694,-0.4,19.3757,0.4071540864313877,-0.5,30.6508,0.7837642560813491,-0.7,48.9352,1.1415559891114742,-0.9,91.2386,1.6941547483195436
1.0,2.9811,0.030751126930366135,0.5,5.5797,0.05235774117454749,0.0,11.9415,0.15347914530203322,-0.2,19.0699,0.22764513439974032,-0.45,35.7301,0.5725156474842708,-0.7,68.3978,1.2870755039466373
1.5,2.1594,0.018424593364322603,1.0,3.7239,0.023751460633869285,0.4,7.8909,0.0918387879716196,0.1,13.8518,0.1352786562985823,-0.2,25.0149,0.34475276329070476,-0.5,50.9255,0.7913945970780218
2.0,1.6057,0.010989078957598597,1.5,2.6048,0.013698927950646252,0.8,5.3895,0.032118243577918947,0.4,9.3832,0.05033480516949923,0.05,17.4257,0.10509585735619383,-0.3,34.5086,0.32437283009031603
3.0,1.0716,0.008283273967920394,2.5,1.4799,0.008475365113894143,1.6,2.9126,0.011653526876815824,1.0,5.2599,0.019207245463061035,0.55,9.6081,0.04433172159604983,0.1,19.1752,0.09580927347142924
5.0,0.3054,0.010088285754252774,4.5,0.7667,0.0062422469694195255,3.2,1.2776,0.004749262609641137,2.2,2.3707,0.006004895630361237,1.55,3.9692,0.009120907133994235,0.9,7.6126,0.01708384717281866
