kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,5.73261740309163,0.3086528298325148,-4.5,8.593803845588614,0.5434939825942553,-4.0,11.539209543798465,0.48834217235559546,-3.2,16.521386852572434,0.7923207193756889,-2.95,23.018980393271868,0.7436404892887662,-2.7,36.973381950496304,1.5519877549375118
-2.0,4.531860648353346,0.17270510134785183,-2.5,8.177651361373803,0.40315671508011336,-2.4,11.216432970729095,0.484879638668915,-2.0,16.57464859047062,0.6740460849319466,-1.95,25.895685629915736,1.2752614238221702,-1.9,35.716464216683235,1.3267479861329992
-1.0,3.921846768833252,0.14384294838369155,-1.5,6.470907452925473,0.2631930166397431,-1.6,10.640501282211927,0.48436689629481816,-1.4,16.2439025420919,0.8610900969487616,-1.45,24.774011769713773,1.5605724272517667,-1.5,40.104390105331014,3.197111142061399
-0.5,3.41009733532397,0.16421654563912644,-1.0,6.1203726917720145,0.28358472874125046,-1.2,10.298425073568268,0.5378006044523203,-1.1,15.641658277093441,0.8901007124537944,-1.2,24.23083500266742,1.4447189923211607,-1.3,34.958391490793204,2.3029256802008313
0.0,2.249298931793739,0.10389199725365567,-0.5,4.739873909764694,0.26118822292182775,-0.8,9.485331670621232,0.549483411165935,-0.8,11.253022193653093,0.38927094659511446,-0.95,21.269745748560812,1.3812507619145484,-1.1,36.52666566182078,2.1361689447589693
0.5,1.7666996441849634,0.08566397205026761,0.0,3.4833981392111393,0.1573986483642254,-0.4,6.467853803487083,0.36720661354605905,-0.5,10.835174177646891,0.7016341551664775,-0.7,16.46136988922438,1.0582397769325445,-0.9,26.624578059674214,1.4032879674083873
1.0,1.1026624036565515,0.036513831571967255,0.5,1.799436497120895,0.0581260252042919,0.0,3.9720341709941964,0.1706547432651186,-0.2,5.90248235234905,0.2271386622311834,-0.45,11.904689250569092,0.5985780790642569,-0.7,21.567310218175205,1.170203657839599
1.5,0.8102205167289784,0.02065243560788351,1.0,1.191893808644507,0.026023806802929206,0.4,2.582762911384946,0.10092983588760585,0.1,4.3137567861159,0.13673884590406463,-0.2,7.994089600251781,0.3650518225087187,-0.5,16.5381528835623,1.0471773855715125
2.0,0.6389587911858506,0.008502771741051124,1.5,0.810606358392794,0.0145307705661867,0.8,1.5863295351658224,0.033327467225594556,0.4,2.580585922299476,0.05255659773204234,0.05,4.779954425141587,0.1039581699320582,-0.3,9.99230257003185,0.3424528805420659
3.0,0.4043387057639893,0.01458823779908967,2.5,0.5786445134513026,0.006699863083397115,1.6,0.8466598628093394,0.012768652604309918,1.0,1.3816449921338074,0.022268826540313397,0.55,2.5270838936015814,0.046960207223361444,0.1,5.03170316728604,0.11639998706803925
5.0,0.469417591582941,0.0058966262837334025,4.5,0.4459719712043684,0.004268364026022844,3.2,0.47995966093788833,0.004491826009162061,2.2,0.593057064428177,0.005390391807226572,1.55,0.935167799852726,0.010298515128239025,0.9,1.703411694553056,0.018335290201137933
