kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.16360437578960413,0.002063995806067698,-4.5,0.15015713871686784,0.0018834659829533376,-4.0,0.2379288821858291,0.0012095757767423547,-3.2,0.36413183011173206,0.0007772996700055071,-2.95,0.4195253569513776,0.0004976839690596448,-2.7,0.4596471714123568,0.00032567397115224175
-2.0,0.4040957344865966,0.0012065270419205272,-2.5,0.36962963119321823,0.0010684027915839026,-2.4,0.41637260896521483,0.0007543083231786019,-2.0,0.4802290413331423,0.00046651536924903334,-1.95,0.4996974328685905,0.00033022002003250787,-1.9,0.5129285800068576,0.00022454974055503114
-1.0,0.5534912161971295,0.0008196677295651181,-1.5,0.49989856839381863,0.0007412861772677254,-1.6,0.5084399760611327,0.0005303680378117994,-1.4,0.5385805213777518,0.0003501761155493187,-1.45,0.5433757379211067,0.0002665552776261586,-1.5,0.5451346869593833,0.00018926713917745956
-0.5,0.6208208323789317,0.0007275692277547286,-1.0,0.5625608129544578,0.0005833992311827484,-1.2,0.551605691847566,0.00045919361516708025,-1.1,0.5720786095035796,0.0003320247314608659,-1.2,0.5699033231841473,0.0002478231965046787,-1.3,0.5626599253858513,0.00017636275693073988
0.0,0.6901685925754524,0.0008635824686114764,-0.5,0.6294210768307035,0.00053189695423094,-0.8,0.6002143686359146,0.00039599135271536304,-0.8,0.6051749979580112,0.0002917731105589813,-0.95,0.5945283509594592,0.0002204936692220797,-1.1,0.581703751509337,0.0001655696958032631
0.5,0.7629277908896593,0.0007078909089633787,0.0,0.6982367314399021,0.00042257842919419234,-0.4,0.6473508972945323,0.0003531758301777235,-0.5,0.6393689440293788,0.0002586129168326574,-0.7,0.6173944581021348,0.00020326526393612737,-0.9,0.5999425699747492,0.00015186493999744044
1.0,0.830202535347368,0.0007416961960054993,0.5,0.7628410012397563,0.00036066799129791903,0.0,0.6971201623069776,0.0002838099378566972,-0.2,0.6731093691923884,0.00023622755954396963,-0.45,0.64529879044956,0.00017874959782140985,-0.7,0.6200496942703637,0.00014788125033398983
1.5,0.8848607030623916,0.0007102830154553753,1.0,0.8288411814351533,0.0004223736252250806,0.4,0.7508145253153109,0.00026736472401631443,0.1,0.7124151537345856,0.00020997615392699163,-0.2,0.6749766909600848,0.0001639403314911027,-0.5,0.6412697461744661,0.00012664518876273143
2.0,0.926036435266701,0.0005744493310016052,1.5,0.8832397196732514,0.0003481980963296109,0.8,0.8037008604511606,0.0002255638791688985,0.4,0.7516257718238996,0.00018826960655469975,0.05,0.7061637324628262,0.0001501900742555914,-0.3,0.6634435592119873,0.0001245004314713679
3.0,0.9705721959298056,0.0004276761141119004,2.5,0.9531708869032344,0.00026885831749026543,1.6,0.8931196475647086,0.00017016509430802632,1.0,0.8296154740268182,0.00015402621382462777,0.55,0.7719099118203236,0.00011924759726210119,0.1,0.7127989995859468,0.00010535303130608852
5.0,0.9967002250771942,0.0001656572117009017,4.5,0.9933008464641438,0.0001358084400769253,3.2,0.9758815132216069,0.00010986233873805167,2.2,0.9374527347425193,9.376340100216407e-05,1.55,0.8885207016451717,8.811394746693371e-05,0.9,0.8170184288407679,7.427350361149171e-05
