kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.20163805803138013,0.0015242156324547843,-4.5,0.17946132685436372,0.0012494486335694194,-4.0,0.12605452988154253,0.0009394510679526302,-3.2,0.07425948357637485,0.0005462967838012387,-2.95,0.049694821111462256,0.0003522458767897822,-2.7,0.032389424105256595,0.0002352753677552586
-2.0,0.12031282761570486,0.0009219706158822821,-2.5,0.10361339617430715,0.0007825336780805856,-2.4,0.07399770731372006,0.0005317482126679845,-2.0,0.046536407528325295,0.0003373825681415934,-1.95,0.033078851561549466,0.00023233160484447042,-1.9,0.02266708637406088,0.00015585198847253563
-1.0,0.08548211444422857,0.0006455374145961293,-1.5,0.07311872844488168,0.0005149943080509661,-1.6,0.0542529151279141,0.00039301623507635323,-1.4,0.03603769918280702,0.00025615061542349165,-1.45,0.02662246845391423,0.0001933615979790995,-1.5,0.019078637842142938,0.0001417420918523339
-0.5,0.07267868573431499,0.0005201931252084684,-1.0,0.06097050235931356,0.00045444846732356384,-1.2,0.046393441669204824,0.00032634741055642214,-1.1,0.032536115714983924,0.000224618426127265,-1.2,0.02394198592934019,0.00017349362302238597,-1.3,0.018133625868568422,0.0001330806255033945
0.0,0.060496615916170386,0.0006409704797883984,-0.5,0.05102942223891702,0.0003735408605134585,-0.8,0.04058941437897986,0.0003019390035862724,-0.8,0.029227114074713484,0.00021230337268365453,-0.95,0.021890442230366874,0.00015673043469171627,-1.1,0.016424267290597223,0.0001235599645202706
0.5,0.05124983930245675,0.0005293187704761255,0.0,0.04258000538890114,0.00030265111499715283,-0.4,0.03508931056300443,0.0002515064208649852,-0.5,0.025953747250405668,0.00017779781312760428,-0.7,0.019733954236316846,0.0001465070457836725,-0.9,0.015182639026482045,0.00010627806787854495
1.0,0.042950526926215885,0.0005497580904921354,0.5,0.03583911225784826,0.0002454688076528629,0.0,0.029889075061026525,0.00020854473894193665,-0.2,0.023206369034960508,0.00016555930162256744,-0.45,0.018019002175958084,0.00013211856170642933,-0.7,0.014021476222895984,0.00010070694532987294
1.5,0.03591229396962197,0.0005138767279537581,1.0,0.030475537053771175,0.00031501008683798446,0.4,0.026119918779683234,0.000187894743022057,0.1,0.020457428618239674,0.00014206448968775962,-0.2,0.016257789420772068,0.0001136190999750274,-0.5,0.012984273171805682,9.057102210599826e-05
2.0,0.02874955137418875,0.00043847977463222173,1.5,0.0246570037559221,0.00026139641782314566,0.8,0.022817623331562654,0.00016588566203090717,0.4,0.018579042142161502,0.0001253230402449272,0.05,0.014948873970900918,0.00010677918644937966,-0.3,0.011878430759487215,8.69851820685745e-05
3.0,0.01745733261763898,0.0003249701864627043,2.5,0.015644394617819333,0.00019477367561224028,1.6,0.01682101369120197,0.00011999095583728146,1.0,0.01490990438437052,0.00010690566773955944,0.55,0.01235112433532859,8.911151678203164e-05,0.1,0.010392847635418643,7.093483602677259e-05
5.0,0.005960353361849559,0.00023372723894157479,4.5,0.0060188718892005754,0.00012000925125920457,3.2,0.008066529503364187,8.109009072563439e-05,2.2,0.009288120041944192,6.638692290765592e-05,1.55,0.008584292282081732,5.817134747874104e-05,0.9,0.007749912125805727,5.3755259336880715e-05
