kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,6.8838,0.011854459506877581,-4.5,7.505,0.011647650299846206,-4.0,8.1212,0.011863405638911318,-3.2,8.7369,0.011798504640493706,-2.95,9.3585,0.011575529288905907,-2.7,9.999,0.01162773776473849
-2.0,6.8957,0.011634779413551522,-2.5,7.5786,0.011926821196523977,-2.4,8.1706,0.011505434151522264,-2.0,8.8375,0.012114966327609823,-1.95,9.4747,0.011848348610874238,-1.9,10.1275,0.01126046759999648
-1.0,6.9965,0.012551405823578025,-1.5,7.5913,0.012175442317864089,-1.6,8.2693,0.012339674491921042,-1.4,8.9473,0.012440292780898445,-1.45,9.5807,0.012706576875220399,-1.5,10.2311,0.01191230459444145
-0.5,6.9812,0.012594911529520017,-1.0,7.6538,0.011819691107972666,-1.2,8.3026,0.012375617590680121,-1.1,8.9996,0.012665957542581261,-1.2,9.6281,0.01205194010814729,-1.3,10.2697,0.011919921102049267
0.0,7.0451,0.012945646155924176,-0.5,7.7034,0.011690548084008054,-0.8,8.3565,0.012456708238541205,-0.8,9.0265,0.012605068554484873,-0.95,9.698,0.012189484943310068,-1.1,10.3297,0.01227791404976486
0.5,7.0884,0.013062209190981012,0.0,7.8012,0.013247950631925907,-0.4,8.4122,0.012826259344359495,-0.5,9.0911,0.012823592490576286,-0.7,9.7205,0.012760324360602574,-0.9,10.3563,0.013097345610926379
1.0,7.0828,0.013149412489111759,0.5,7.8571,0.013876695813005577,0.0,8.483,0.013168578806301701,-0.2,9.1284,0.013090573691002236,-0.45,9.7753,0.012609206284422634,-0.7,10.4079,0.012214231185115306
1.5,7.0675,0.012582825684726476,1.0,7.8663,0.012857132286814212,0.4,8.5519,0.01285423927999892,0.1,9.2212,0.013346690492669242,-0.2,9.8433,0.012926373837259253,-0.5,10.4568,0.012749862830328501
2.0,7.0406,0.012981837795649449,1.5,7.8364,0.013508928612671776,0.8,8.6275,0.013321537565653324,0.4,9.275,0.013241781071893447,0.05,9.9004,0.013853066771259333,-0.3,10.4945,0.012563647305763719
3.0,7.001,0.012848638157505353,2.5,7.7822,0.013352281467239229,1.6,8.632,0.013773317513050897,1.0,9.3578,0.014011686326553049,0.55,10.0115,0.01350771134781375,0.1,10.6116,0.012944701056627228
5.0,6.9591,0.0176781042646091,4.5,7.7227,0.013452850787260827,3.2,8.5297,0.013522863640184752,2.2,9.3351,0.013749093813436943,1.55,10.1179,0.014367273257332119,0.9,10.8324,0.01407106124336451
