kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,1.175430016450302,0.012320824102219222,-4.5,1.140922946792224,0.011041663519141546,-4.0,1.1553545102713887,0.012073015237870209,-3.2,1.1670538082964066,0.011451054410882353,-2.95,1.1449492743716152,0.01115784535410512,-2.7,1.1585910552577783,0.011463741794636464
-2.0,1.147585816102888,0.01089169052673484,-2.5,1.1856486057266826,0.011554947884455014,-2.4,1.1678321896583945,0.011269890210023187,-2.0,1.1830611621430809,0.011368193081649668,-1.95,1.1694001281280784,0.01165916865806857,-1.9,1.1842229470833774,0.011751647370362583
-1.0,1.213768953923007,0.012516037315357538,-1.5,1.2026674315433545,0.011993647748989407,-1.6,1.2037119266004737,0.011162850603771887,-1.4,1.2379321296402963,0.012424507434063694,-1.45,1.2434798487363683,0.013308787171260055,-1.5,1.205088384228053,0.011931920245598455
-0.5,1.2371740459458387,0.01203236299583944,-1.0,1.224947186437422,0.01218494554746299,-1.2,1.2277556672228558,0.012458318447326805,-1.1,1.2472992485933574,0.01294260593069791,-1.2,1.2144702070402464,0.01156207756390869,-1.3,1.246481962054876,0.012864918867565817
0.0,1.2338631333430714,0.012625680320184657,-0.5,1.259439184202981,0.01259339883957887,-0.8,1.2667155192941633,0.013176327693494515,-0.8,1.2400610973466248,0.012554225653382956,-0.95,1.2432017354619103,0.01249836029156506,-1.1,1.247298474844147,0.013638119988548913
0.5,1.284581821078558,0.012837718643952441,0.0,1.3225934694185266,0.013253516754763552,-0.4,1.2757170161875788,0.012087207294747876,-0.5,1.271441090355595,0.012808548734820057,-0.7,1.2703311080629378,0.013349215749362233,-0.9,1.2421371101694234,0.012602350493499712
1.0,1.3095478805928236,0.014310351873971026,0.5,1.3405444028190907,0.014421130993756737,0.0,1.3011841945054523,0.012674272896415904,-0.2,1.2815138187966515,0.013667807220671221,-0.45,1.2744301970813166,0.014264330731151922,-0.7,1.2519082703743687,0.012714108427468592
1.5,1.2833193058799062,0.012592449370507292,1.0,1.3524079305893884,0.013992467172875842,0.4,1.3296928962432761,0.01300454431206053,0.1,1.3273457517446114,0.013277442608892331,-0.2,1.2988894569524145,0.013168720729146294,-0.5,1.3021149374502365,0.013354830468419569
2.0,1.2978906317595489,0.013790710011528868,1.5,1.344104051615855,0.014303601845408425,0.8,1.3449626918484565,0.012877762827078556,0.4,1.348538785384228,0.013663444735311494,0.05,1.337108307454032,0.013914325128374714,-0.3,1.2793488278582719,0.013313532419267726
3.0,1.2899478270611,0.012459468574245304,2.5,1.3422903316099069,0.01378750194448494,1.6,1.4089622129254373,0.015942009545217645,1.0,1.3586624880284424,0.013591093327953264,0.55,1.3653403112105575,0.014044318161596694,0.1,1.3293314681505215,0.013753612762511042
5.0,1.2579290236507201,0.01707989949144682,4.5,1.344018358704543,0.013542642692201816,3.2,1.369125765054494,0.013294508727432604,2.2,1.399572745657416,0.014469957611711567,1.55,1.421619390051014,0.0157219398224613,0.9,1.3809058367944607,0.014142407498221134
