kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,-0.1439088464807408,0.0006651082063219017,-4.5,-0.16012795229013285,0.000477556314242639,-4.0,-0.15795009088474393,0.0003275041051660508,-3.2,-0.1439667902123276,0.00023523835389201948,-2.95,-0.1388226173825761,0.00016993120825227557,-2.7,-0.13095491115689256,0.00012082779890526779
-2.0,-0.06908350515201414,0.00064335486504232,-2.5,-0.10575959759913828,0.00047992607175714714,-2.4,-0.10968954673580672,0.00033181742098349707,-2.0,-0.0914946211200319,0.00023737387987691604,-1.95,-0.09092693218985112,0.00017351102052320897,-1.9,-0.0890487440543287,0.00011812425598167657
-1.0,0.005933621914587898,0.000645793822686555,-1.5,-0.042886814349092306,0.00043993364970889404,-1.6,-0.0594610971952258,0.00033256428001077,-1.4,-0.04638739334641306,0.0002327431721357372,-1.45,-0.053564224891044364,0.00016349656112653094,-1.5,-0.05902996857097295,0.00011416687967384442
-0.5,0.056205963999367045,0.0006155346475994148,-1.0,-0.0003558876383384565,0.0004424550933019415,-1.2,-0.025211451681681974,0.00031585128821665846,-1.1,-0.019435519699848698,0.00023242055605208185,-1.2,-0.0316123333647918,0.000166818731938003,-1.3,-0.04161016290366159,0.0001109288879956883
0.0,0.1116591186271962,0.0005725715546138727,-0.5,0.049506402586210585,0.0004442677181863627,-0.8,0.013464895440654578,0.00030458140470589705,-0.8,0.010399111926429415,0.00021521769926281483,-0.95,-0.007128667311371778,0.0001632404212214726,-1.1,-0.022852297453909945,0.00011023540273155034
0.5,0.16043639968793422,0.0005386123374895433,0.0,0.10492830149354807,0.0004067822869320068,-0.4,0.056286636355801604,0.00029882844495244756,-0.5,0.043677843890491785,0.0002153765628510466,-0.7,0.02007861260505209,0.0001529235760511702,-0.9,-0.0022418609202717993,0.0001100411664632076
1.0,0.2032864082441564,0.0005022887942139069,0.5,0.15598000412194168,0.00039570714241730416,0.0,0.10101960018759809,0.00027836556343103076,-0.2,0.07745018055575921,0.00020212498031224493,-0.45,0.04837930812464099,0.00015013715577800552,-0.7,0.019232465374877234,0.00010857917665988571
1.5,0.23285389454403074,0.0004965124929787527,1.0,0.19847210661259498,0.00035596313759640095,0.4,0.14351099232090847,0.0002740393870167745,0.1,0.11069136080164467,0.00021467178337243343,-0.2,0.07677225843556856,0.00014768821216611905,-0.5,0.04189452356473995,0.00011106892897067504
2.0,0.2551767001643138,0.000482463343600524,1.5,0.2292421533218777,0.00033283316765101394,0.8,0.1799779153419755,0.0002697334193948023,0.4,0.14188862593933838,0.00019503303267995746,0.05,0.10460076400233448,0.00014093324939456626,-0.3,0.06463717749871946,0.00010911127352802775
3.0,0.2763291704921993,0.000482638094795751,2.5,0.264857027203232,0.0003407390232229222,1.6,0.23268266881035257,0.00024885682726807933,1.0,0.19520678473669129,0.00017239422391813707,0.55,0.15606476186513907,0.0001385827602147345,0.1,0.10976039856744425,0.00010445362891236468
5.0,0.28826107033645604,0.0004524369313015405,4.5,0.28539021748948284,0.00032303888884400767,3.2,0.2745634142676813,0.00022615624403481564,2.2,0.25458723877131667,0.00016649393059450825,1.55,0.22869604443807243,0.00011997299094084393,0.9,0.18643751521317653,8.88935416540616e-05
