kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.06567461385812273,0.0004745490927393297,-4.5,0.04688873923596192,0.000331646916526787,-4.0,0.03326604717738266,0.00023000136808827264,-3.2,0.023629569697758635,0.00015882024490063975,-2.95,0.016909730925479295,0.00012353777262689094,-2.7,0.01191356522131173,8.588095835391895e-05
-2.0,0.06520848834807762,0.00045161897767461063,-2.5,0.04677728861093105,0.00031819318284406116,-2.4,0.033084507592779304,0.00023863518417708692,-2.0,0.023646522395963227,0.00016530721324103055,-1.95,0.01667651227292784,0.00011636854684367154,-1.9,0.011827788795505837,8.177696391063795e-05
-1.0,0.06266001300632003,0.0004513696703210989,-1.5,0.045505934113014096,0.0003272122669392805,-1.6,0.03260879503576537,0.00023793429485491815,-1.4,0.022881602597263833,0.00016330080010267475,-1.45,0.016625267766285496,0.00011872025143428862,-1.5,0.011651642265766949,8.198442188227757e-05
-0.5,0.06065397515400129,0.00043943326419206225,-1.0,0.04444886985373081,0.0003040472919534564,-1.2,0.032581675410317944,0.0002273646093659721,-1.1,0.02284492251253806,0.00017045583174243176,-1.2,0.016209419637994504,0.00011247276646490113,-1.3,0.011522069877857598,7.816620810208542e-05
0.0,0.05715385222408926,0.00041765424354085865,-0.5,0.04312816111776954,0.00030766376105972393,-0.8,0.031303332620972575,0.00022529115193822705,-0.8,0.022216005455073233,0.0001569399973175024,-0.95,0.016015998992808016,0.00011330917170432769,-1.1,0.011410225768734473,8.283002540259629e-05
0.5,0.05495848008951451,0.0003869298578608064,0.0,0.04099353006761843,0.000288751503261041,-0.4,0.030480727524211205,0.0002203671761243274,-0.5,0.021755258960757615,0.0001520346623522008,-0.7,0.015694788426503813,0.00011311996180786248,-0.9,0.011253041495697237,7.55863005346434e-05
1.0,0.05204628891428708,0.0003687694644945478,0.5,0.03912206772267903,0.0002823828256150442,0.0,0.028947358288181325,0.00019959850235596276,-0.2,0.02069351401075392,0.00014587137235209458,-0.45,0.015443077486713534,0.00011670152363493068,-0.7,0.011077224998272387,7.738462158068077e-05
1.5,0.04994017100457213,0.0003571898609805057,1.0,0.036904000702352786,0.0002660099880449919,0.4,0.02779088148434718,0.00018604462849020122,0.1,0.020699759329048318,0.000141750438495857,-0.2,0.014675271914890972,9.661875384889507e-05,-0.5,0.011043017068201636,7.601008396514785e-05
2.0,0.04828310215476977,0.00033896694477619554,1.5,0.035134730163786286,0.00024785731988865325,0.8,0.026833417132544796,0.0001941790743637697,0.4,0.01946212957501711,0.00014246484127506697,0.05,0.014539713852926003,0.0001008606532025254,-0.3,0.010806224120540683,7.559366214453241e-05
3.0,0.04688772596857486,0.00033339414878950317,2.5,0.033517297811651456,0.00023289794722073352,1.6,0.0248174866411181,0.00017039513047748062,1.0,0.018279026666924443,0.00012259588357910956,0.55,0.013670875919804155,9.465462495962422e-05,0.1,0.010277209415301546,7.341008953329826e-05
5.0,0.04535522048436822,0.0003096936850083852,4.5,0.032535153287501895,0.00022719427838810188,3.2,0.023306780316756846,0.00016207004809184496,2.2,0.016859951051946105,0.00011666164599527707,1.55,0.012417790073991252,8.840562179978621e-05,0.9,0.009294474372477166,6.576406323175955e-05
