kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,45.0396,0.27186282237472176,-4.5,67.6989,0.4472556299594566,-4.0,96.4265,0.659204568181496,-3.2,138.6844,0.6411120534487227,-2.95,192.1059,0.9803296603965899,-2.7,259.0009,0.9336291215289333
-2.0,43.1104,0.23964611618244813,-2.5,65.695,0.3985534054420684,-2.4,95.7989,0.5390316248610746,-2.0,130.8574,0.5920413074996936,-1.95,176.4175,0.8484512632983423,-1.9,233.3616,0.8230341029371855
-1.0,39.3327,0.2545097665945494,-1.5,59.6873,0.3908289899300326,-1.6,91.5799,0.4564885347306552,-1.4,117.9517,0.6546552371236659,-1.45,155.5611,0.8206512175242189,-1.5,208.7286,0.7544453721070299
-0.5,36.2493,0.22767518485326388,-1.0,56.8456,0.3622746182046506,-1.2,83.8934,0.6235074326698875,-1.1,110.2575,0.6359003413882777,-1.2,151.8754,0.6469353612276325,-1.3,191.1001,0.6976819157738128
0.0,30.4049,0.2108534522473005,-0.5,49.3491,0.34610524849437807,-0.8,74.4924,0.3983933982205225,-0.8,94.7901,0.5823367384193211,-0.95,133.8832,0.7148707231370146,-1.1,176.8151,0.6202273412392751
0.5,25.6193,0.20944198629963162,0.0,40.7886,0.30997157008316084,-0.4,62.0054,0.4105607224616088,-0.5,82.691,0.5637425920651981,-0.7,109.8942,0.49465919084465315,-0.9,155.9953,0.5349423077909098
1.0,21.3889,0.14640635797394597,0.5,31.8261,0.15605104100389217,0.0,49.1816,0.2400890650546142,-0.2,65.8737,0.26654652632188675,-0.45,93.9974,0.40618627734411794,-0.7,132.9829,0.298508193982317
1.5,18.6719,0.08974164980202437,1.0,25.6418,0.08680307426227127,0.4,40.5399,0.16467065476295425,0.1,57.0298,0.22630443618019253,-0.2,79.7517,0.26718299905694815,-0.5,116.4926,0.27052238236974596
2.0,16.8077,0.06350431166842516,1.5,22.071,0.07881064791387393,0.8,33.6903,0.11211992367677232,0.4,46.6918,0.140257751715962,0.05,66.8094,0.14544324174522294,-0.3,97.6089,0.21873818466335465
3.0,14.9785,0.05473318539664637,2.5,18.1517,0.04242778998962117,1.6,24.7182,0.05352285223819549,1.0,34.9268,0.07496439701998939,0.55,49.8346,0.10528258134869904,0.1,73.5903,0.14594452460909044
5.0,13.4703,0.03172737366691102,4.5,15.9642,0.03466903812574792,3.2,19.0556,0.03752120263207132,2.2,24.2002,0.04730091858155251,1.55,32.1031,0.06362855184868152,0.9,46.4251,0.0873356351921391
