kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,9.161376802778731,0.20011967186621726,-4.5,14.247299299998382,0.32202381364863897,-4.0,21.125558612085676,0.49260210773275637,-3.2,31.081216205935124,0.49325678690481267,-2.95,49.50444378220422,0.8632266992814538,-2.7,65.22752304178212,0.8138541908811285
-2.0,9.29279545910403,0.18126925608749966,-2.5,14.182908393169889,0.3053100814132385,-2.4,21.138063784652942,0.4237140222169531,-2.0,29.89441808872162,0.4925611799891655,-1.95,43.93080906776627,0.7459037826291706,-1.9,57.874744008413586,0.7759289618289724
-1.0,9.030745603028283,0.18195943236803133,-1.5,13.279094552913408,0.2857647002806836,-1.6,20.09126133094154,0.3582996562721154,-1.4,28.790808571066872,0.5423023677681624,-1.45,39.61511583386136,0.715716443709883,-1.5,52.108017296637364,0.7381231828956991
-0.5,8.614033298459363,0.17364348367213567,-1.0,13.414028263554,0.2707616303124043,-1.2,20.63492710095304,0.5343052647568584,-1.1,27.463401420649976,0.5336912512597624,-1.2,37.62277531180038,0.6090096278231135,-1.3,47.740573899248666,0.6694985613049304
0.0,7.685796194039602,0.18085257953318418,-0.5,12.321510100272414,0.3086391308489372,-0.8,18.188271593594493,0.360946431335222,-0.8,23.502907919193017,0.5913765363947631,-0.95,34.226695786044594,0.6767119744398947,-1.1,44.52094701892971,0.6381922896999567
0.5,6.997789966585282,0.20214865788865824,0.0,10.660359954871915,0.2961766390075593,-0.4,15.608431476394907,0.36701619587438306,-0.5,21.674406496827057,0.5607791708436252,-0.7,27.651637703159047,0.48551325290611586,-0.9,38.065892595969856,0.5305602292755585
1.0,5.999721364834,0.15044584972001193,0.5,8.1302317837123,0.15573700059691653,0.0,11.995399551538085,0.24798146579301109,-0.2,15.558391776320153,0.26764426247427503,-0.45,23.093763777967055,0.4375943176779317,-0.7,30.428387999853474,0.30089536582106213
1.5,4.971329983231873,0.08348200750435064,1.0,6.207700565799825,0.09058690127252919,0.4,9.849665455281112,0.1653048957201313,0.1,13.549157535691757,0.24161976257151782,-0.2,18.51943692622447,0.26474769897699985,-0.5,25.990592458226747,0.2659111474285847
2.0,4.400188277299913,0.06516005569319988,1.5,5.3962460050571,0.09168584024094142,0.8,7.849327812284978,0.11354823839701557,0.4,10.247834628420637,0.1358169141104398,0.05,14.49538834486082,0.15644532222854385,-0.3,21.258667264986023,0.22758584885054972
3.0,3.736500219910249,0.054861082312144475,2.5,4.249293207025838,0.04878915367754581,1.6,5.516487281159299,0.057538106281688026,1.0,7.3983048904140984,0.07683271952277856,0.55,10.225316550105186,0.10447756811635038,0.1,14.884327335490275,0.15781553400973905
5.0,3.0908369800628006,0.028066127071901967,4.5,3.517350641541664,0.0374828597231041,3.2,3.839528986514339,0.04127992389462993,2.2,4.664471640986679,0.04620952381584733,1.55,6.119658112308331,0.07084639456720333,0.9,8.50360047933293,0.0956719155909639
