kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.26356791060942303,0.0008964449251633337,-4.5,0.2536197347882662,0.0006331596676397188,-4.0,0.2354090299427861,0.0004528323783989605,-3.2,0.23175898712505258,0.00031732939696646966,-2.95,0.23000218775140538,0.00021971405233010182,-2.7,0.23011964330454113,0.00015411914144580505
-2.0,0.24902565510446584,0.0008703354826580478,-2.5,0.24093857538515057,0.0006321189904434837,-2.4,0.23664944456909912,0.00042845883739328085,-2.0,0.23766699845923364,0.00030190254964881886,-1.95,0.23673303605246382,0.00021431945887719924,-1.9,0.23739434208313795,0.0001567089450985822
-1.0,0.2652247019139948,0.0008402799661105704,-1.5,0.24548085652155816,0.0005993667014141611,-1.6,0.2452621258419815,0.00044719435678929547,-1.4,0.2465139764826984,0.00030559762653038216,-1.45,0.24546316591671488,0.00020680488244040278,-1.5,0.24390874651893382,0.00015844004307470055
-0.5,0.28516674145104504,0.0008421955182346538,-1.0,0.25882177338354756,0.0006197687118563203,-1.2,0.25212724954700727,0.00042823721498311983,-1.1,0.2539699701805762,0.0003142374065238893,-1.2,0.2506113129877174,0.00021440419693872102,-1.3,0.24813353095017082,0.00014594487838022458
0.0,0.3287614841313891,0.000946733931913199,-0.5,0.28511899039239835,0.0005892593140432198,-0.8,0.26520199537064637,0.0004378996161445106,-0.8,0.2650255493098708,0.00031055776152894265,-0.95,0.2593233304113148,0.00020104277114457844,-1.1,0.25402765070263433,0.0001511805700935058
0.5,0.3934269675214646,0.0009587479920176784,0.0,0.32672418884937326,0.0006567621330963569,-0.4,0.2908818567041143,0.00044070988128049385,-0.5,0.2815087206704813,0.00031788306800503225,-0.7,0.26968440678588895,0.00021304399714269537,-0.9,0.26084290404500293,0.0001512119246982823
1.0,0.4705773806923793,0.0010038727483568522,0.5,0.3892194473671666,0.0006466337587280989,0.0,0.32522885808968593,0.0004615776974387928,-0.2,0.3049643405295561,0.00031949807627018346,-0.45,0.2854245154479696,0.00022624011939242772,-0.7,0.2698436247624199,0.00015566004064752203
1.5,0.5528948404714069,0.0010345906958575553,1.0,0.4675399615901386,0.0006890036063736018,0.4,0.37339407705255034,0.00046586888269789387,0.1,0.33479364923387267,0.0003302428346939124,-0.2,0.3043617618854516,0.00021210566441629065,-0.5,0.2817019943940742,0.0001562529824838769
2.0,0.636707478226976,0.0010052157964372378,1.5,0.5525397429687356,0.0007131759518157599,0.8,0.4324189956850509,0.00047724310887517333,0.4,0.3733009671493596,0.0003316923129402562,0.05,0.3289169496659772,0.00022100776695632414,-0.3,0.2959915437008441,0.0001529888998437911
3.0,0.7698047327033921,0.0009248094853149614,2.5,0.7076409184575149,0.0006430696083059108,1.6,0.5695780056879983,0.0004972201141050676,1.0,0.46603918507334274,0.00034210536848379804,0.55,0.39352254534303777,0.0002308905292691489,0.1,0.334310761187198,0.00016195936493952596
5.0,0.9159069945750036,0.0006494947270055393,4.5,0.8895812940203912,0.0005361832462015422,3.2,0.7897317515415799,0.00045762888833117567,2.2,0.6641586280223878,0.00035088649364098303,1.55,0.5595330663431172,0.0002557958895264026,0.9,0.44862844378052213,0.00016932298560210198
