kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.08962623185877643,0.0006223063825002187,-4.5,0.06301118210882044,0.0004732546351362687,-4.0,0.04397650919709533,0.000304392781167151,-3.2,0.03068292890571533,0.00022047927393306952,-2.95,0.02170151011372836,0.00015077265955506508,-2.7,0.015140669369848928,0.0001101492380263932
-2.0,0.08794940114737082,0.0006237157345113706,-2.5,0.061066981091137486,0.00043030003031286897,-2.4,0.04320482665693456,0.00029175273607900753,-2.0,0.030594651306198352,0.00022225115947048586,-1.95,0.02175870742398188,0.00015350812554016256,-1.9,0.015231955255442946,0.00010758030668148987
-1.0,0.08603822623830651,0.0006117638143677425,-1.5,0.060938303309946686,0.0004398572925197812,-1.6,0.043195275259414814,0.000316436078101788,-1.4,0.030237488645461344,0.000218708755835896,-1.45,0.021499812141974852,0.00014974493491296144,-1.5,0.015271681216434038,0.00010938680707973983
-0.5,0.0882953860581896,0.0006433183637452313,-1.0,0.06121409294845311,0.00045521393532987317,-1.2,0.04324364039339345,0.0002930887146828225,-1.1,0.030957097251615065,0.00021251723726172916,-1.2,0.021703433797953624,0.0001544704587819751,-1.3,0.015065311649067818,0.00010742804356350074
0.0,0.09035744441252667,0.0006438884498729606,-0.5,0.061887172658712866,0.00042906724653967186,-0.8,0.04278420145531905,0.00030871049033891115,-0.8,0.03038324208867953,0.00021948194198422843,-0.95,0.02135143746007129,0.0001489784458249895,-1.1,0.01529589190052684,0.00010906467309307162
0.5,0.0934645373925109,0.0006933000971064941,0.0,0.06389675926551272,0.0004433153114911452,-0.4,0.04330815943269762,0.0003053114469752475,-0.5,0.030845160347742276,0.00021374339221729002,-0.7,0.021585640313387226,0.00015641169964013399,-0.9,0.015171485398038495,0.00011114704705705962
1.0,0.09969605142083068,0.0007157973721660819,0.5,0.0663972183056714,0.00046753585733184895,0.0,0.0453873818796099,0.0003128953552286498,-0.2,0.030820427153190985,0.00021652223305536269,-0.45,0.02200551184813026,0.0001571398612944618,-0.7,0.01552296965897154,0.00011415975444493257
1.5,0.10161736271071106,0.0006991237482704851,1.0,0.06928237658814766,0.0004921429384795431,0.4,0.04675335545380221,0.00032623958984074594,0.1,0.032238055417368426,0.0002241993565872797,-0.2,0.02205830401049668,0.00015872794464275565,-0.5,0.01569050886016498,0.00010883787364517259
2.0,0.09896978978921592,0.0006724444289602607,1.5,0.07189546374586497,0.0005292483974716579,0.8,0.04809932243548923,0.0003262400344158785,0.4,0.03302621113474099,0.00023434212879685118,0.05,0.022565689377695538,0.0001574431152702945,-0.3,0.015312540732178177,0.00010841657768793335
3.0,0.09150544780911798,0.000653400533335355,2.5,0.06903202120388803,0.000466084395363896,1.6,0.0509515959512937,0.0003724957365306611,1.0,0.0345050020718222,0.00023909744461578846,0.55,0.023709605472721346,0.00016820360692512606,0.1,0.016134288639596067,0.00010959770208429107
5.0,0.06385559743210115,0.0005151605708798681,4.5,0.0515733332036092,0.00037918261157625534,3.2,0.04567234367730334,0.00032114503367631017,2.2,0.03529205108316809,0.00025563175526283576,1.55,0.025037791310460085,0.00017200865467013803,0.9,0.017120813084711174,0.00011933079106694269
