kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,1.4278,0.004851659773991016,-4.5,1.4844,0.0049453780962141316,-4.0,1.8704,0.0033016404922310886,-3.2,2.0,0.0,-2.95,2.0,0.0,-2.7,2.0,0.0
-2.0,1.9715,0.0016337674976067535,-2.5,1.9877,0.0010708281435005804,-2.4,2.0,0.0,-2.0,2.0,0.0,-1.95,2.0,0.0,-1.9,2.0,0.0
-1.0,1.9997,0.0001773437645106359,-1.5,2.0,0.0,-1.6,2.0,0.0,-1.4,2.0,0.0,-1.45,2.0,0.0,-1.5,2.0,0.0
-0.5,2.0,0.0,-1.0,2.0,0.0,-1.2,2.0,0.0,-1.1,2.0,0.0,-1.2,2.0,0.0,-1.3,2.0,0.0
0.0,2.0,0.0,-0.5,2.0,0.0,-0.8,2.0,0.0,-0.8,2.0,0.0,-0.95,2.0,0.0,-1.1,2.0,0.0
0.5,2.0,0.0,0.0,2.0,0.0,-0.4,2.0,0.0,-0.5,2.0,0.0,-0.7,2.0,0.0,-0.9,2.0,0.0
1.0,2.0,0.0,0.5,2.0,0.0,0.0,2.0,0.0,-0.2,2.0,0.0,-0.45,2.0,0.0,-0.7,2.0,0.0
1.5,2.0,0.0,1.0,2.0,0.0,0.4,2.0,0.0,0.1,2.0,0.0,-0.2,2.0,0.0,-0.5,2.0,0.0
2.0,2.0,0.0,1.5,2.0,0.0,0.8,2.0,0.0,0.4,2.0,0.0,0.05,2.0,0.0,-0.3,2.0,0.0
3.0,2.0,0.0,2.5,2.0,0.0,1.6,2.0,0.0,1.0,2.0,0.0,0.55,2.0,0.0,0.1,2.0,0.0
5.0,2.0,0.0,4.5,2.0,0.0,3.2,2.0,0.0,2.2,2.0,0.0,1.55,2.0,0.0,0.9,2.0,0.0
