kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.4947844390884948,0.0006961013007674643,-4.5,0.49978157045034793,0.00015489634283673506,-4.0,0.33587962354413703,0.003744613030690282,-3.2,0.0,0.0,-2.95,0.0,0.0,-2.7,0.0,0.0
-2.0,0.16640468458521587,0.004611379420770699,-2.5,0.1102266981837851,0.004885052642333433,-2.4,0.0,0.0,-2.0,0.0,0.0,-1.95,0.0,0.0,-1.9,0.0,0.0
-1.0,0.017318775765030273,0.005759425359717107,-1.5,0.0,0.0,-1.6,0.0,0.0,-1.4,0.0,0.0,-1.45,0.0,0.0,-1.5,0.0,0.0
-0.5,0.0,0.0,-1.0,0.0,0.0,-1.2,0.0,0.0,-1.1,0.0,0.0,-1.2,0.0,0.0,-1.3,0.0,0.0
0.0,0.0,0.0,-0.5,0.0,0.0,-0.8,0.0,0.0,-0.8,0.0,0.0,-0.95,0.0,0.0,-1.1,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,-0.5,0.0,0.0,-0.7,0.0,0.0,-0.9,0.0,0.0
1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,-0.45,0.0,0.0,-0.7,0.0,0.0
1.5,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,-0.2,0.0,0.0,-0.5,0.0,0.0
2.0,0.0,0.0,1.5,0.0,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.05,0.0,0.0,-0.3,0.0,0.0
3.0,0.0,0.0,2.5,0.0,0.0,1.6,0.0,0.0,1.0,0.0,0.0,0.55,0.0,0.0,0.1,0.0,0.0
5.0,0.0,0.0,4.5,0.0,0.0,3.2,0.0,0.0,2.2,0.0,0.0,1.55,0.0,0.0,0.9,0.0,0.0
