kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.6607671416315636,0.0007493143500304169,-4.5,0.6690157784877623,0.0004224043779890663,-4.0,0.681496742316488,0.00021269104518017087,-3.2,0.6893674799799021,0.00014531394712538297,-2.95,0.6934794268032576,0.00010414520696006133,-2.7,0.6964610657558682,7.359291530131621e-05
-2.0,0.6944725171795207,0.000594772389683078,-2.5,0.6905109274883272,0.00030258422356029663,-2.4,0.6953346750120077,0.000208600378521688,-2.0,0.7039587665728158,0.00014357939835012328,-1.95,0.7055686963987877,0.00010137539570260921,-1.9,0.7066976271101654,7.313908425910567e-05
-1.0,0.7210856493615735,0.00041855457285812055,-1.5,0.7124103354090097,0.0002984630523334405,-1.6,0.7104269045607557,0.0002093079018754172,-1.4,0.7167303070500679,0.00013724303307043276,-1.45,0.7156998743156627,0.00010554791573352045,-1.5,0.7149131841947178,7.016156045782857e-05
-0.5,0.7376969517253996,0.0004042401289262743,-1.0,0.7254124137554171,0.0002978826123421328,-1.2,0.7210209279535793,0.00019675815655377914,-1.1,0.7247184263928316,0.0001407236612211507,-1.2,0.7222590505836698,0.0001042622337607908,-1.3,0.7197746754510873,7.127224699839102e-05
0.0,0.7483602732010268,0.00039338868366940776,-0.5,0.7389960919989245,0.0002739758505132586,-0.8,0.7327322451559352,0.0002013411591262276,-0.8,0.7336382826079714,0.00014249673139601793,-0.95,0.7289466038447115,0.00010064044306383688,-1.1,0.7250761967624955,7.219662851130572e-05
0.5,0.7509560285109277,0.0003981775361708537,0.0,0.7498818529797646,0.00027702506287414634,-0.4,0.7424113297934535,0.00020028523082506959,-0.5,0.7413231235003541,0.00013849954256198467,-0.7,0.7364950676497137,0.00010047455940136018,-0.9,0.730870966748467,7.105364926693123e-05
1.0,0.7487331602591616,0.000404721556704606,0.5,0.7527997853936435,0.00027755562257082673,0.0,0.7507542949748623,0.00019695521987943764,-0.2,0.7479593906901402,0.0001332003034097357,-0.45,0.7429070666973273,9.872579168515642e-05,-0.7,0.7364468023299247,7.156489542387664e-05
1.5,0.742636184335723,0.00039074328113665837,1.0,0.7495902611165636,0.0002782191760625038,0.4,0.7537984537071456,0.00019535891027242706,0.1,0.7527496672755253,0.0001409635125262863,-0.2,0.7484512517700578,9.83828131382386e-05,-0.5,0.7417662414491591,6.999443015617471e-05
2.0,0.7305077650809121,0.00039116219018558345,1.5,0.7416518263859561,0.0002765426833270839,0.8,0.752524375198054,0.00018992405886672238,0.4,0.754504709494573,0.00014127825909774112,0.05,0.7524582364120957,9.975252588212069e-05,-0.3,0.7465963659631808,7.077131738583489e-05
3.0,0.7121773548450837,0.00038194682796903066,2.5,0.7218742022780585,0.0002781476499873698,1.6,0.739843481274222,0.0002023695567183218,1.0,0.7507345479926675,0.00013909770289468137,0.55,0.7547985624171812,9.999673930073724e-05,0.1,0.7530566944127095,6.834670691722494e-05
5.0,0.6847933855767689,0.0003543425940774539,4.5,0.6905271825785466,0.00026572968688152413,3.2,0.7083619990166339,0.00019639509415011843,2.2,0.7279289728489139,0.00013803894824418114,1.55,0.7416059387773867,9.649212829712273e-05,0.9,0.7521721290214527,7.170330379794603e-05
