kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.04377475369784182,0.0005289108763996989,-4.5,0.030267419338959364,0.00030689361251771784,-4.0,0.0208009187221797,0.00014072572447815191,-3.2,0.014754039165224123,0.00010262610279834162,-2.95,0.01046434639699834,7.297692634022819e-05,-2.7,0.007298268782789209,5.02127191072963e-05
-2.0,0.042146814805759075,0.00043137009244539594,-2.5,0.02956678196664191,0.00022005538306400023,-2.4,0.020645432929089075,0.00014660726170548323,-2.0,0.014713062252462779,0.00010457481778830972,-1.95,0.010214383920077546,7.060840550835976e-05,-1.9,0.007173170645151402,5.006490583621488e-05
-1.0,0.04077301065633779,0.00030159075606626777,-1.5,0.02926782923266627,0.0002117115028178481,-1.6,0.02036952190722874,0.00014330384409351932,-1.4,0.01430288693652486,9.969536423070858e-05,-1.45,0.010226439356043086,7.36827982600012e-05,-1.5,0.007203666361668081,5.152961009410134e-05
-0.5,0.04122245806847416,0.0002995777870663027,-1.0,0.028838207908411004,0.0002043307846827678,-1.2,0.020253853694123157,0.00013893525467143785,-1.1,0.014253994597459721,0.00010513149294915661,-1.2,0.010090870677616435,7.218337015196477e-05,-1.3,0.007191042077279573,4.978091851448273e-05
0.0,0.03914930332313048,0.0002790067545354691,-0.5,0.02831170127257913,0.00021075991143666478,-0.8,0.02017016416226217,0.00014364319921315616,-0.8,0.014001019817115217,0.00010206148030119801,-0.95,0.010086429386817199,7.127901839483742e-05,-1.1,0.007142112946371314,5.036224843521739e-05
0.5,0.03999831496263343,0.00028558442977782734,0.0,0.028034755221278213,0.00019899694085485947,-0.4,0.01979124948682894,0.00013977485241474375,-0.5,0.014003711308002076,9.839806088046856e-05,-0.7,0.009940894712174162,6.964345742426566e-05,-0.9,0.007099041351416039,5.004694903533797e-05
1.0,0.04035497206162118,0.000279087269597979,0.5,0.027847203672530102,0.00020719586477600468,0.0,0.019584290987079804,0.00012758825803182191,-0.2,0.01365610781178146,9.377091696973986e-05,-0.45,0.009940982794701061,6.865638476346816e-05,-0.7,0.007098450954276624,5.015330469611907e-05
1.5,0.040373825844541245,0.00027934377953739415,1.0,0.02813565410315418,0.00020798673084016864,0.4,0.019759722537886326,0.00013604616862368396,0.1,0.013980223774941822,9.659988030669325e-05,-0.2,0.009801030109549249,6.462950272944375e-05,-0.5,0.007096463657809494,5.2400044397649165e-05
2.0,0.038845337372411005,0.0002655751876323875,1.5,0.02821884572073035,0.00019599474227122022,0.8,0.019887306715508975,0.00014232812271099785,0.4,0.014162083457549856,0.00010204627698761822,0.05,0.009775708473553392,6.926455219984503e-05,-0.3,0.006941486376204163,5.001876969124023e-05
3.0,0.03814571556913418,0.0002658831232614883,2.5,0.027517146270703674,0.00021177707217697855,1.6,0.019812204818317018,0.0001411562941152093,1.0,0.014080253660028822,0.00010056865902190396,0.55,0.009975197654802728,7.262243421294347e-05,0.1,0.006832296145586374,4.87353048586324e-05
5.0,0.03640083456708027,0.00024074017999651712,4.5,0.026214768411691743,0.0001848688870773944,3.2,0.01919045242379123,0.0001410864772578456,2.2,0.01393074109013981,9.741328885240847e-05,1.55,0.010096158870421475,7.240335756995905e-05,0.9,0.007091372241262882,4.9778522619385014e-05
