kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,3.0,0.0,-4.5,3.0,0.0,-4.0,3.0,0.0,-3.2,3.0,0.0,-2.95,3.0,0.0,-2.7,3.0,0.0
-2.0,3.0,0.0,-2.5,3.0,0.0,-2.4,3.0,0.0,-2.0,3.0,0.0,-1.95,3.0,0.0,-1.9,3.0,0.0
-1.0,3.0,0.0,-1.5,3.0,0.0,-1.6,3.0,0.0,-1.4,3.0,0.0,-1.45,3.0,0.0,-1.5,3.0,0.0
-0.5,3.0,0.0,-1.0,3.0,0.0,-1.2,3.0,0.0,-1.1,3.0,0.0,-1.2,3.0,0.0,-1.3,3.0,0.0
0.0,3.0,0.0,-0.5,3.0,0.0,-0.8,3.0,0.0,-0.8,3.0,0.0,-0.95,3.0,0.0,-1.1,3.0,0.0
0.5,3.0,0.0,0.0,3.0,0.0,-0.4,3.0,0.0,-0.5,3.0,0.0,-0.7,3.0,0.0,-0.9,3.0,0.0
1.0,3.0,0.0,0.5,3.0,0.0,0.0,3.0,0.0,-0.2,3.0,0.0,-0.45,3.0,0.0,-0.7,3.0,0.0
1.5,3.0,0.0,1.0,3.0,0.0,0.4,3.0,0.0,0.1,3.0,0.0,-0.2,3.0,0.0,-0.5,3.0,0.0
2.0,3.0,0.0,1.5,3.0,0.0,0.8,3.0,0.0,0.4,3.0,0.0,0.05,3.0,0.0,-0.3,3.0,0.0
3.0,3.0,0.0,2.5,3.0,0.0,1.6,3.0,0.0,1.0,3.0,0.0,0.55,3.0,0.0,0.1,3.0,0.0
5.0,3.0,0.0,4.5,3.0,0.0,3.2,3.0,0.0,2.2,3.0,0.0,1.55,3.0,0.0,0.9,3.0,0.0
