kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.8157305411755326,0.0011607600516078947,-4.5,0.8161315629802489,0.0006515113834384895,-4.0,0.8067975445586032,0.00029210513107697623,-3.2,0.8010345152293534,0.00011151832941470233,-2.95,0.7977711222784696,8.450571979788137e-05,-2.7,0.7948554654742859,5.996492417850472e-05
-2.0,0.7736035211057412,0.0009598743362297387,-2.5,0.7878846143278261,0.00041968899633842906,-2.4,0.7881912805588543,0.00023647924187612495,-2.0,0.7793238145377934,0.00012480486346017492,-1.95,0.7787506900331111,8.56959849705304e-05,-1.9,0.77804956184281,6.0841071000059465e-05
-1.0,0.7337342332133845,0.000717868734501576,-1.5,0.755230562688411,0.0003566996576037603,-1.6,0.7661659163076614,0.00017696461215494018,-1.4,0.7584039330477119,0.00012775033009330974,-1.45,0.7620295488361432,8.85520731331493e-05,-1.5,0.7645813488372157,6.51528629774183e-05
-0.5,0.7072872765611362,0.0005253365463742905,-1.0,0.7357609178486657,0.00034530598102193644,-1.2,0.7484565878257299,0.0001815410146556459,-1.1,0.7450183389704834,0.00012801607378006287,-1.2,0.7514209953520624,9.088908873081773e-05,-1.3,0.7562921172853879,6.344965637489885e-05
0.0,0.6769769165408103,0.0005439837818884717,-0.5,0.7092335525167512,0.00037307557526634373,-0.8,0.7270804536993277,0.00018605383959235255,-0.8,0.7288268604777386,0.00013538429939517104,-0.95,0.7389443380100683,9.188474982673353e-05,-1.1,0.74681674892193,6.51697966158064e-05
0.5,0.6545352126543688,0.00036001425537553655,0.0,0.6809370097079985,0.00025913792610624426,-0.4,0.705222025020248,0.0001826620348458353,-0.5,0.7119883457904881,0.00013477391829349602,-0.7,0.723725832857264,9.712238427894262e-05,-0.9,0.7360980933910647,6.495554821238885e-05
1.0,0.6348426096579498,0.0003661765100758442,0.5,0.6551437418961981,0.00026751578169250187,0.0,0.6815221813852353,0.00018375974996437722,-0.2,0.6934324401020416,0.00012644758477525398,-0.45,0.7087431274965474,9.332727328772636e-05,-0.7,0.7243285484661648,6.931453678495795e-05
1.5,0.6232517463829227,0.0003667845263157427,1.0,0.6374727114672223,0.00025046743064475774,0.4,0.6607643863332329,0.00018400751322347669,0.1,0.6761698335666189,0.00013215664235288865,-0.2,0.6936001875912358,9.502542898768461e-05,-0.5,0.712165582847067,6.751603200160901e-05
2.0,0.6155433524115637,0.00035816728958724736,1.5,0.6254983853096522,0.00025836417611526665,0.8,0.6449943820643537,0.0001816574771123254,0.4,0.6613313639298555,0.00013194357646077368,0.05,0.6790452541517449,9.415418420443086e-05,-0.3,0.6997734400780922,6.78080003295281e-05
3.0,0.6080449214404303,0.0003753670696904599,2.5,0.6122231685204712,0.0002549067087940631,1.6,0.6245519585827569,0.00018178225050016907,1.0,0.6385187259054776,0.00012990965356605167,0.55,0.655095582988714,8.89281274012287e-05,0.1,0.6766295128054898,6.707984108393043e-05
5.0,0.6055743549684374,0.00035634877967154476,4.5,0.6080713332695986,0.0002552807499707352,3.2,0.6103695436007948,0.00018319257796728058,2.2,0.6167921606223546,0.0001283184145763687,1.55,0.6256749740857,9.345075427178302e-05,0.9,0.6420388179799226,6.255058547486068e-05
