kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.03327399041924589,0.0008173488199084082,-4.5,0.023380768903063474,0.00043282124239954646,-4.0,0.016435866729506643,0.00020665210516408058,-3.2,0.011601268917127804,8.41810995656052e-05,-2.95,0.00832771142053774,5.836536768102895e-05,-2.7,0.005959554283505234,4.176400487984226e-05
-2.0,0.035981117064634326,0.0006529442291015853,-2.5,0.023893319494329966,0.0002937114777984593,-2.4,0.017145505732491774,0.00016900091016747274,-2.0,0.012280521584248071,8.360882375574243e-05,-1.95,0.008760992177023145,6.313164571976291e-05,-1.9,0.006171340084601184,4.480777455041835e-05
-1.0,0.03635358235668775,0.0005015574273853388,-1.5,0.024804099592958862,0.0002567523155730397,-1.6,0.017718166287027593,0.00012045064583172271,-1.4,0.012618177247164634,8.86555085890318e-05,-1.45,0.009065876860126635,6.455442931100137e-05,-1.5,0.006239324446213826,4.3708862867496105e-05
-0.5,0.037104508133594824,0.00036857829864327563,-1.0,0.026028473265777462,0.00025302434293949806,-1.2,0.0181648391452242,0.00012174727883996849,-1.1,0.012894183001013138,8.803754890958509e-05,-1.2,0.008937983533359263,6.276641955486945e-05,-1.3,0.0062866811049002045,4.395899098514689e-05
0.0,0.037466333587814024,0.0003713822626422304,-0.5,0.026178039475591136,0.0002597072942188347,-0.8,0.018710914629213954,0.00012754515992715237,-0.8,0.013053276161525976,9.246649753017403e-05,-0.95,0.009220966350408564,6.62757581250726e-05,-1.1,0.006478709313998282,4.6769166154239834e-05
0.5,0.03759081207687077,0.0002703380892984286,0.0,0.026913666605783832,0.00019166841416268373,-0.4,0.018653337987036063,0.00013295712624464647,-0.5,0.013369773550799423,9.85278130846788e-05,-0.7,0.00937186921906924,6.65444268495147e-05,-0.9,0.006570900915242548,4.693054511955515e-05
1.0,0.03730609554185885,0.0002513600964553708,0.5,0.026576179886664098,0.0001804505125900607,0.0,0.01911089038034472,0.00013611781919785102,-0.2,0.01331384099008093,9.317130368509524e-05,-0.45,0.00954661106965195,6.94251046276603e-05,-0.7,0.006727162566810464,4.643277366356571e-05
1.5,0.036989123854687105,0.00024838950137003344,1.0,0.026158532074991046,0.00018637441172339632,0.4,0.018704141256233434,0.00012882319658316844,0.1,0.013298496580713285,9.091007500761726e-05,-0.2,0.009531798013890402,6.48724795673661e-05,-0.5,0.006683393289652532,4.650034875118758e-05
2.0,0.036268101733338075,0.00025120108309932467,1.5,0.025525933194467228,0.00017522815446499338,0.8,0.01860228538907988,0.0001274256001893132,0.4,0.013263898974977605,9.351875359093948e-05,0.05,0.00941957555148575,6.666557836323863e-05,-0.3,0.006665516279092999,4.867058651276732e-05
3.0,0.036981789831013155,0.00027412805047221696,2.5,0.025783730740278527,0.00018858571727206576,1.6,0.018229762867528743,0.00012541700755369872,1.0,0.013157168207110229,9.375131154995507e-05,0.55,0.009323839453236152,6.891696850528854e-05,0.1,0.006726948631811063,4.746664684672732e-05
5.0,0.036496843088105725,0.000257071310860488,4.5,0.02594585680905469,0.0001858825464819386,3.2,0.018187533606194663,0.00013060315912798834,2.2,0.013027963245987621,9.55586635815611e-05,1.55,0.009252906663229737,6.404611365041296e-05,0.9,0.0065169626621351005,4.461157792263502e-05
