kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,9.0032,0.06453018212809793,-4.5,10.3311,0.06884128278922519,-4.0,17.1281,0.04779655781140117,-3.2,44.0268,0.07857876403747809,-2.95,94.5308,0.08677437899754986,-2.7,217.5306,0.13528546184652268
-2.0,19.1592,0.0690058196266252,-2.5,24.6855,0.07296775134877667,-2.4,43.7159,0.09102104676850768,-2.0,105.6303,0.08597823542313769,-1.95,208.6853,0.1278406549749509,-1.9,423.1499,0.1837739671852768
-1.0,31.9177,0.0954405709579777,-1.5,44.1945,0.10483346692171762,-1.6,74.7559,0.09703842763007307,-1.4,164.2437,0.10495436870636016,-1.45,306.2275,0.15625817209047024,-1.5,578.524,0.20730615750126105
-0.5,41.5085,0.09660459773894987,-1.0,59.3765,0.12108087641602884,-1.2,98.0511,0.14613934665900855,-1.1,201.4729,0.11805791693381133,-1.2,365.4267,0.15955910344286683,-1.3,672.9112,0.23253248145728247
0.0,53.8352,0.13820061287874258,-0.5,78.2767,0.1156433594752449,-0.8,126.8805,0.12520484468067297,-0.8,245.7692,0.18576607326731448,-0.95,436.9221,0.17666041210878597,-1.1,779.1252,0.23385258948987697
0.5,65.7569,0.12641262536492004,0.0,102.6866,0.17426379830288555,-0.4,161.325,0.1753673014551734,-0.5,298.8141,0.1978738749137777,-0.7,520.9021,0.18470141737143822,-0.9,900.1732,0.26273535150140853
1.0,76.1526,0.07992557699621712,0.5,128.2951,0.12764202663685723,0.0,200.687,0.17966992490852987,-0.2,356.5611,0.19573777218575053,-0.45,611.9146,0.19965982494554835,-0.7,1032.9735,0.2620460421104962
1.5,85.3911,0.0804891863015861,1.0,149.9896,0.10017899774698034,0.4,241.1874,0.1805535690679735,0.1,417.4063,0.1988769148410054,-0.2,709.1062,0.19841003917696626,-0.5,1177.9019,0.2672374042220257
2.0,90.9205,0.053009753709844516,1.5,166.5201,0.06694309798715721,0.8,278.5278,0.1384279798768757,0.4,478.5851,0.21143636947094882,0.05,809.7579,0.20341393855916104,-0.3,1333.7246,0.2772384063364765
3.0,97.611,0.05126220476762211,2.5,186.8394,0.05815587824050078,1.6,335.6697,0.08524034436002989,1.0,587.8992,0.13302810803393045,0.55,1010.9986,0.1958170959845937,0.1,1657.55,0.29252603413822803
5.0,102.1775,0.05096847381826683,4.5,199.1312,0.05355167638163462,3.2,384.3175,0.06181684623133044,2.2,720.3053,0.09686995289398719,1.55,1320.5738,0.15306003298032023,0.9,2271.5988,0.2630023344490876
