kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,81.9786,0.2915000777069242,-4.5,150.0927,0.9872222786939608,-4.0,258.3793,1.1003003324359044,-3.2,435.5515,1.8903894921331117,-2.95,787.4451,2.794380007296817,-2.7,1397.5217,4.545738301372947
-2.0,74.6389,0.2676678908813662,-2.5,138.1178,0.7062029509458903,-2.4,240.9985,1.262493082745399,-2.0,421.1424,1.9939071062952065,-1.95,750.0183,3.417635771229189,-1.9,1370.012,3.2211806992542895
-1.0,68.8011,0.3455041674957582,-1.5,127.2746,0.6871936035556555,-1.6,233.8638,1.0163195996778676,-1.4,401.0064,3.1020306954853516,-1.45,716.2341,5.002758297081787,-1.5,1310.5257,10.501862958543947
-0.5,62.8852,0.4552412723249372,-1.0,120.0446,1.0525551072278125,-1.2,219.3549,1.7737746290254006,-1.1,385.172,4.00265183182707,-1.2,698.9913,4.974774679814057,-1.3,1207.325,24.699549172942113
0.0,54.3072,0.5007699690430679,-0.5,107.4659,0.9665150448760799,-0.8,207.1568,1.7188340178469148,-0.8,337.2375,5.522765399351401,-0.95,631.0782,9.820731071855576,-1.1,1191.4361,14.256160388893287
0.5,48.2062,0.5826531121569902,0.0,89.9644,1.4033012898792387,-0.4,165.2325,2.3782943043447253,-0.5,296.2138,4.805107783937656,-0.7,492.6298,11.702057665447335,-0.9,980.4227,16.772214476832872
1.0,40.4664,0.5344537167296403,0.5,69.5039,1.064155523375267,0.0,131.968,2.2702933332040596,-0.2,210.4388,4.064988724073549,-0.45,392.8631,8.650653210873784,-0.7,785.4571,17.147417079780634
1.5,36.2097,0.41809338292094805,1.0,55.0241,0.5324870458117427,0.4,104.918,2.297793264483204,0.1,179.7344,3.9487956831697137,-0.2,315.7615,7.998320565484728,-0.5,659.4334,12.990157740682704
2.0,33.1477,0.3109322430549316,1.5,46.4824,0.522415739833311,0.8,82.7805,1.3170375608248333,0.4,135.1893,1.8284034334375903,0.05,238.4571,4.321596057384308,-0.3,480.8024,11.0790806707628
3.0,29.8691,0.23282337494074512,2.5,39.3833,0.3841100805649232,1.6,56.6684,0.539389963171953,1.0,88.5765,1.0510718067046658,0.55,150.7313,1.518138772179758,0.1,282.9939,3.0669329824573346
5.0,29.2825,0.2904041147600177,4.5,35.8071,0.3090898370443681,3.2,45.0635,0.36647589619835114,2.2,57.8544,0.29641126713248117,1.55,83.7091,0.5052171454057675,0.9,137.0344,0.7546256322749952
