kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,7.231553883997389,0.19480985076648638,-4.5,12.471185178481457,0.6360898276923289,-4.0,21.324138983798154,0.7804971329349891,-3.2,37.79200671209631,1.307999403427265,-2.95,60.21821825138084,1.8250405080403327,-2.7,103.39515358511002,3.1484452945761157
-2.0,7.458959069269633,0.19476460037565518,-2.5,13.395292701044449,0.47987426485849427,-2.4,23.282106936451008,0.8511108242124267,-2.0,40.29477744260309,1.3960764080758379,-1.95,72.72448040457225,2.6453260692298564,-1.9,101.54991725535506,2.1871527560974204
-1.0,8.444102621173412,0.2543687828778743,-1.5,14.022869140296953,0.5390311927378838,-1.6,23.240474640724372,0.7249575673831604,-1.4,47.63615097095831,2.3386802607809667,-1.45,81.69194240887808,4.0985896241507564,-1.5,144.84786926300643,8.031206346222687
-0.5,9.324447194957413,0.32831547423748914,-1.0,17.20749896533672,0.7605353980781362,-1.2,28.48863117456892,1.3019434731738206,-1.1,54.47011396473789,2.9508214769265053,-1.2,85.143786448261,3.8207749059656604,-1.3,187.67306704215525,18.436175511638705
0.0,9.905142065812807,0.32622090408715987,-0.5,17.57705699152302,0.640410147191932,-0.8,30.16630262961363,1.1402501583437228,-0.8,62.704938279839396,3.279550086184544,-0.95,111.82670882235873,6.53732889538595,-1.1,184.48002115299764,10.15120334868184
0.5,10.741322970747886,0.3626001407051505,0.0,20.055746207398855,0.8297781877131433,-0.4,35.18215203952443,1.4486013938833038,-0.5,65.45144367168588,2.7651111147876324,-0.7,121.64380080130404,7.13206311062988,-0.9,210.04162914362317,10.041795085133058
1.0,10.068317046101305,0.41352232478306106,0.5,18.451499412596725,0.8270699019060814,0.0,34.161637515607694,1.640163142908965,-0.2,58.22930980023704,3.259007023475387,-0.45,105.56942288700299,6.226165350220464,-0.7,204.68965959536044,12.109256228220975
1.5,9.14523315388645,0.3512812818453217,1.0,13.497923491554484,0.4367939101375777,0.4,33.178335645351765,1.7773009446441093,0.1,54.89211574604415,3.395711756506915,-0.2,94.56417533122999,6.150624038998319,-0.5,180.00198064394618,9.902573957970445
2.0,7.727085834617703,0.23956978044952157,1.5,11.867846258588024,0.5266469118397263,0.8,23.626691300395414,1.0410093724786154,0.4,37.631817400679545,1.4752925427360761,0.05,68.39673655187866,4.565134267786116,-0.3,144.43806419943107,8.669791756643038
3.0,6.6908177298585425,0.197923595268465,2.5,9.877547150166906,0.37659799633372615,1.6,14.566724421984464,0.5487331788064314,1.0,24.570211990980628,1.1674893272052695,0.55,41.968950899372736,1.4669506343646272,0.1,75.90409874315485,2.7846769349876133
5.0,6.975611777182457,0.2678619374255199,4.5,8.588705733497783,0.29862091985382744,3.2,11.095628826159642,0.39125692688391767,2.2,13.282546564733904,0.30632124511581676,1.55,20.93375502388284,0.5588519169242422,0.9,33.79687026166695,0.8605037141311128
