kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,-0.032481700521700525,0.0035889399034673736,-4.5,-0.033865410997671055,0.0031240513853053797,-4.0,-0.07262577879858954,0.0024831801820679646,-3.2,-0.12752052932224692,0.0015238499933321935,-2.95,-0.15815198468109984,0.0010224148047406165,-2.7,-0.17318763376458327,0.0006589125374234831
-2.0,-0.12110684590987626,0.002254336442497207,-2.5,-0.11399476068066451,0.0019932647100119032,-2.4,-0.13745780466907564,0.001495383146291333,-2.0,-0.1683185969911553,0.000985366636227371,-1.95,-0.17817047675447215,0.000680825563174115,-1.9,-0.18435574846544112,0.0004720432277156168
-1.0,-0.15839074194623573,0.0018090203255796192,-1.5,-0.15449416583207248,0.0014564200206234569,-1.6,-0.16899825410436614,0.0011193192822584414,-1.4,-0.18147586253061673,0.0007631632525342773,-1.45,-0.1853848367947686,0.0005574829437252236,-1.5,-0.19004363070008667,0.00040801275565368104
-0.5,-0.17496024320175838,0.0015251106644563195,-1.0,-0.17432983038188382,0.001224627124832878,-1.2,-0.17726641812948152,0.0009881552202149022,-1.1,-0.18679940736521178,0.0006948745196951676,-1.2,-0.1909096679414373,0.0004920067983285622,-1.3,-0.19148574183483286,0.000370763728682467
0.0,-0.1870887049041606,0.0013245884257420176,-0.5,-0.1856908160823271,0.001105391364852272,-0.8,-0.1865964311621947,0.0008326485373056816,-0.8,-0.19299332365065158,0.0006089390313324161,-0.95,-0.19381320848251485,0.0004632255181127152,-1.1,-0.19390504289106028,0.0003350332352580422
0.5,-0.19623235420330226,0.0011873025988156176,0.0,-0.19406509185071397,0.0009257553379004192,-0.4,-0.1917796383677284,0.0007469166048140905,-0.5,-0.19491386112575163,0.0005715878897054788,-0.7,-0.194072360360667,0.00045716343749114646,-0.9,-0.19538313583290873,0.00032024011778994334
1.0,-0.20260527897132163,0.0010451798719723893,0.5,-0.19898261365269376,0.0008350629148060108,0.0,-0.19535685544862755,0.00062917483045521,-0.2,-0.1963751791252325,0.000494367948383302,-0.45,-0.19640046352322765,0.00039539139873018806,-0.7,-0.19633440142883582,0.000296409258701518
1.5,-0.2116954946049145,0.001031305826636293,1.0,-0.20602720952842266,0.0007541250581954155,0.4,-0.1999415626292043,0.0006109204746834595,0.1,-0.19927556587652992,0.0004698896426699481,-0.2,-0.19787378532329764,0.00035554377711329363,-0.5,-0.19718323649859273,0.0002869027021267109
2.0,-0.2191516645940601,0.0009706005742439446,1.5,-0.21435309248297368,0.0007406000333256267,0.8,-0.20534075308627306,0.0005483697935760981,0.4,-0.20256291546428548,0.0004232251211583746,0.05,-0.19922112040625675,0.0003310040575893259,-0.3,-0.19772350905560584,0.0002646511961415596
3.0,-0.23130112309067286,0.0008854286813230119,2.5,-0.227757647352925,0.0006504972958655512,1.6,-0.21660233383176627,0.0004939876220687563,1.0,-0.20903053948363248,0.00038573772576733445,0.55,-0.20457834202023298,0.0003004445914578162,0.1,-0.20028030602419888,0.00022450878889851723
5.0,-0.239686138817522,0.0008711881699367304,4.5,-0.24008581763634484,0.0006300626159313652,3.2,-0.23356630480680096,0.0004248820589371489,2.2,-0.2244268145379604,0.0003269193028923627,1.55,-0.21659950337361575,0.00025890020402351234,0.9,-0.2084215676844835,0.00018778244280335583
