kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.33860681169810325,0.00231806570912531,-4.5,0.31226841726411647,0.0021238008554784536,-4.0,0.24587161481578726,0.0017751688936778751,-3.2,0.14977644154806763,0.001040589726289416,-2.95,0.10205842446134064,0.0007258399064537165,-2.7,0.06619516019217048,0.0004613214133391889
-2.0,0.2277311035366738,0.0015322387960839967,-2.5,0.20150923628803072,0.0014123649468438125,-2.4,0.14955920154437,0.001011457001791709,-2.0,0.09654777640374432,0.0006770233857063087,-1.95,0.06703978830702308,0.00047535883932592907,-1.9,0.04680892282080273,0.0003390837766531374
-1.0,0.17212525993972227,0.0012323339401460805,-1.5,0.1485671757659386,0.001067253810383931,-1.6,0.11313921831935844,0.0007706200387226164,-1.4,0.07654464564291487,0.0005176938296637127,-1.45,0.05526301677165885,0.0003772487576004373,-1.5,0.04083086731207231,0.0002770985563055022
-0.5,0.15046190219332117,0.001089178893319035,-1.0,0.1271950559128989,0.0008965246749723719,-1.2,0.09767313526076596,0.0006977857695849781,-1.1,0.06814380461473528,0.0004867819599959183,-1.2,0.05048991437372911,0.00036367889757102676,-1.3,0.03727503412739809,0.0002580128994124995
0.0,0.1304259890966335,0.0009112343760184971,-0.5,0.10848191612569068,0.0007532656013261796,-0.8,0.08583269974534465,0.000626704035621182,-0.8,0.06238471116178097,0.00044340927640202054,-0.95,0.04580062690155816,0.0003275309651561446,-1.1,0.03487868555173785,0.000238213633642376
0.5,0.11652129518636023,0.0008365206706622902,0.0,0.09377315728274077,0.0006649161718565836,-0.4,0.07483017778204282,0.0005365349498953462,-0.5,0.05545853461500283,0.00039532710599173823,-0.7,0.042611774345896365,0.00028627342961393636,-0.9,0.03226919553901713,0.0002239573877592877
1.0,0.10667678335267611,0.0007544401908861785,0.5,0.08239613765205113,0.0005837694218373561,0.0,0.06678612962010422,0.0004660093075325789,-0.2,0.05052918682923931,0.00036081865974273684,-0.45,0.03875716108422131,0.0002837240709932767,-0.7,0.030005356823926854,0.0002196458749682909
1.5,0.09905685633426255,0.0006768174466795147,1.0,0.07463803634729023,0.0005303693132381863,0.4,0.060813729849248536,0.0004196480061581398,0.1,0.04611083115104721,0.00031771109817627785,-0.2,0.0357486644816279,0.0002576581846101729,-0.5,0.028087971744473063,0.00019985804078419131
2.0,0.09532668922607322,0.0006738442046537801,1.5,0.07048830738539676,0.0005216330950724602,0.8,0.05636206795780364,0.00038633914646972836,0.4,0.042846645049880436,0.00028694884911171386,0.05,0.03315096597124878,0.00023875053285599203,-0.3,0.026303836609353246,0.00018141848198117928
3.0,0.08941988611094001,0.0006019587575153685,2.5,0.06488479227435223,0.0004693056106266659,1.6,0.04913363288704884,0.00034530379167529843,1.0,0.03828636908301298,0.00028078078223235935,0.55,0.029679062896596588,0.0002126932881142695,0.1,0.023013139202714524,0.00016279916335907696
5.0,0.08647116919473513,0.0006246776499544861,4.5,0.06239899397394492,0.00043830313454322755,3.2,0.04507271291962489,0.0003222281873386777,2.2,0.0335325536151766,0.0002305146864569105,1.55,0.025090344867671796,0.00017983786021195933,0.9,0.01939959237147856,0.00014261201482595608
