kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,4.6637,0.011344358883536722,-4.5,5.2834,0.011575547365321718,-4.0,6.7303,0.013466347042262895,-3.2,8.3742,0.01482455780366058,-2.95,9.3731,0.015449715184730395,-2.7,10.5211,0.017568540418954913
-2.0,5.7436,0.01159963861186744,-2.5,6.3856,0.01305700203002251,-2.4,7.5863,0.0138406942747829,-2.0,8.5969,0.01494013102703939,-1.95,9.6886,0.016036580143306514,-1.9,10.459,0.016327783919372455
-1.0,6.4297,0.01313809953567902,-1.5,6.9526,0.013607803902064338,-1.6,7.6977,0.013436998835219776,-1.4,8.8788,0.015293700563203016,-1.45,9.9431,0.01727603419067458,-1.5,10.9443,0.019451700302149537
-0.5,7.2047,0.015302390962171866,-1.0,7.5764,0.015814712197251078,-1.2,8.1201,0.015470480908153136,-1.1,9.2236,0.018194737448801807,-1.2,10.2074,0.017465704817005094,-1.3,11.5391,0.03549806155981634
0.0,8.362,0.01985985398209639,-0.5,8.3608,0.016614226321627682,-0.8,8.7499,0.025292146848225276,-0.8,10.2651,0.04043880964822983,-0.95,11.1353,0.11546232303999357,-1.1,11.6519,0.02062506909649604
0.5,9.74,0.03196762493780485,0.0,9.9072,0.056983289303267036,-0.4,10.4707,0.04418142040393126,-0.5,11.5821,0.07007985615680844,-0.7,12.8915,0.08864094783023391,-0.9,13.4003,0.09091377942847809
1.0,11.2651,0.0384774837373074,0.5,12.4613,0.061518907935638766,0.0,12.6308,0.08713059945117278,-0.2,14.4844,0.13025434296368352,-0.45,15.2912,0.11945133248764155,-0.7,15.183,0.1325320214748731
1.5,12.6511,0.02970878415310623,1.0,14.9677,0.049810779438071655,0.4,15.3151,0.13122580701797001,0.1,16.6601,0.14634295871193992,-0.2,17.67,0.1267161594654753,-0.5,17.2886,0.20166651465402646
2.0,13.6641,0.03305422588049157,1.5,16.8095,0.039741178517753835,0.8,17.855,0.11171570664051761,0.4,20.0745,0.15138378203943978,0.05,20.696,0.12989175839605532,-0.3,20.7107,0.24079085058884003
3.0,14.7373,0.03515180285965834,2.5,19.5029,0.0451849863838035,1.6,23.7657,0.05584368839478217,1.0,26.4958,0.1067008892735752,0.55,28.7091,0.14577491496613332,0.1,28.7117,0.17358595926852835
5.0,15.5457,0.036974332707828385,4.5,21.1454,0.050941917857448185,3.2,27.8418,0.06600250798879391,2.2,36.0131,0.07903362998736034,1.55,42.4149,0.0939130995540977,0.9,46.0891,0.18237156430649362
