kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,1.1368076104400056,0.0073037972663312165,-4.5,1.1888758482609771,0.007142869964944821,-4.0,1.3334690562485496,0.008417890823308771,-3.2,1.4900323418093864,0.00962564549311577,-2.95,1.5297484770511471,0.009926648875174113,-2.7,1.692997759638628,0.011256364498188284
-2.0,1.2004179023631858,0.008442078057727946,-2.5,1.275019689071801,0.009326040171375014,-2.4,1.3908075871861132,0.009404672983810513,-2.0,1.4639073373916969,0.011006734748813626,-1.95,1.6085051348618342,0.011874834538513564,-1.9,1.6276928267931392,0.011081897150685163
-1.0,1.3357530960598083,0.010477403714786693,-1.5,1.358358477639602,0.010724421409442278,-1.6,1.3054827224110825,0.009467437470663559,-1.4,1.538748626232847,0.011528379823917825,-1.45,1.7287455700954413,0.01347394572859458,-1.5,1.9134167414242609,0.01576254435974965
-0.5,1.5673045506076462,0.013560194683872333,-1.0,1.5552507580747388,0.013069516924904132,-1.2,1.5392572628680785,0.013671788831533206,-1.1,1.7351380666710765,0.017271858465844638,-1.2,1.7619579136769858,0.014681833878404786,-1.3,2.085834667615356,0.03000053627210325
0.0,1.8978187931457424,0.01628509634040738,-0.5,1.7220104215681156,0.014254795514648888,-0.8,1.743402975617955,0.022129305310190483,-0.8,2.0379983645070405,0.03330780357322344,-0.95,2.2981127131200987,0.11089096408849168,-1.1,2.012692595293259,0.01609820824711212
0.5,2.342679836187926,0.02756583082423295,0.0,2.3243769988629825,0.05028745258599732,-0.4,2.1977771798918213,0.0348740032586101,-0.5,2.427354278814588,0.0576837917811088,-0.7,2.6108254232979835,0.07063403513894795,-0.9,2.6646894691495855,0.08702258952986187
1.0,2.803570578886695,0.031798044205396024,0.5,3.0117120298818567,0.0513054711699218,0.0,2.9195108690277958,0.07471887706002647,-0.2,3.2899603377400144,0.11234105470236304,-0.45,3.274549561005719,0.10028971514198065,-0.7,3.1402065361547433,0.11302136093394508
1.5,3.1110668047578742,0.026140820314428374,1.0,3.5696681866941513,0.0411921546237766,0.4,3.804741725263306,0.1002266491787182,0.1,3.948408158068042,0.11535209022381576,-0.2,3.9380008614877817,0.10585303635430487,-0.5,3.8290960078879928,0.16901621470879086
2.0,3.318157953928764,0.0281087377922505,1.5,3.9685998448411057,0.033113803208294906,0.8,4.311152236161504,0.0967036185682633,0.4,4.7636560530646195,0.11851924510744985,0.05,4.560094675151453,0.10801163558454921,-0.3,4.749848588761711,0.21017742707667222
3.0,3.479669455559248,0.026604905253508376,2.5,4.566779733873068,0.03694604097263392,1.6,5.617558117716326,0.045068259823027666,1.0,6.17449550971413,0.08706959695408614,0.55,6.5604101310900385,0.12082874237645223,0.1,6.327715789185769,0.13770843953054085
5.0,3.6785411070786806,0.027673375404252177,4.5,4.9302017736552015,0.04128619235966392,3.2,6.455086333578924,0.05082110496060148,2.2,7.949015478328588,0.05699480554854478,1.55,9.364759893493602,0.07339448054984389,0.9,10.311847293742327,0.14165700705488138
