kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.034413901098901085,0.0018791521753187513,-4.5,0.03534831218660939,0.0017589181601003116,-4.0,0.02957989861424465,0.0016259206704093503,-3.2,0.016810221966851675,0.0013190163745479186,-2.95,0.009867252923426415,0.0009376223153970412,-2.7,0.002894264780535589,0.0006309139311670151
-2.0,0.02782119071269908,0.0016967846015731388,-2.5,0.026453931427127424,0.0015900973492835872,-2.4,0.01570427706678137,0.0012873373131114835,-2.0,0.007192708456916616,0.0008498301812373372,-1.95,0.0038949005336518724,0.0006442756733808804,-1.9,0.0017580901941861128,0.00044294772466929935
-1.0,0.020351561444595954,0.0014386556247448902,-1.5,0.01190223609385525,0.0012601665528589312,-1.6,0.0104927077721751,0.0010214954907412507,-1.4,0.005355680154618097,0.000692328344982329,-1.45,0.0029094089134446607,0.0004928046402854269,-1.5,0.000999197310477862,0.000373931183989611
-0.5,0.015054130230350961,0.0012350859247176379,-1.0,0.012996452898847826,0.0010480713442370263,-1.2,0.007465438935433876,0.0008636178847336347,-1.1,0.005061774555191411,0.000590878667029923,-1.2,0.0018996137583781633,0.00044367055332826175,-1.3,0.0017135787521878776,0.0003485247578927507
0.0,0.012480776834970746,0.0010715127200079178,-0.5,0.008877999065893502,0.0009071120235649339,-0.8,0.007011025846604375,0.0007421560967089971,-0.8,0.002575671063550068,0.0005429053117473783,-0.95,0.0018608380194346196,0.0004125005269870369,-1.1,0.0015862051436897134,0.00031223871948969254
0.5,0.008137105662308767,0.0009337336252035232,0.0,0.005640192339414624,0.0008216532683697783,-0.4,0.0043533358258654314,0.0006810837900350793,-0.5,0.0022659029150112666,0.00048396544648874343,-0.7,0.0016665395593006796,0.0003671930898327391,-0.9,0.0010394785390664652,0.0002812099811876216
1.0,0.009333339536306667,0.000906028339764616,0.5,0.0045142457426456655,0.0006750139612094644,0.0,0.0036154759388622674,0.0005773560163777552,-0.2,0.0011010552360964307,0.0004193107576207955,-0.45,0.0002060935397815816,0.00033561667940291154,-0.7,0.0006821779173610062,0.00026694082375571145
1.5,0.006482344970599712,0.0008024955366571767,1.0,0.00406760195312612,0.0006290353046685213,0.4,0.00217398544801049,0.0005291622837542244,0.1,0.0018703273547591955,0.00041353055715668814,-0.2,0.0013804693502694507,0.0003151365395100989,-0.5,0.0009439632846055709,0.00023978395396307632
2.0,0.005920807403302764,0.0007994068272553278,1.5,0.003427105141422337,0.0005938176290547761,0.8,0.002022129033228514,0.0004795695218642083,0.4,0.0014368553319973093,0.0003661685380248818,0.05,0.0008157281154822455,0.0002921189322306319,-0.3,0.0005795943265905901,0.0002377678991265467
3.0,0.005905705202770219,0.0007639127877176749,2.5,0.0034888070953032957,0.0005459789594479023,1.6,0.0012198470346600936,0.00040974674094975305,1.0,0.0006964580262800483,0.0003298235629112098,0.55,0.0003194219455966336,0.00025635533074055023,0.1,0.0005666021221579524,0.00019676556426082904
5.0,0.0052106779422275065,0.000779457601264818,4.5,0.0031412993933848986,0.0005403092560665755,3.2,0.0014873078458549898,0.00039669518580196845,2.2,0.0004414062681896513,0.0002834043294751866,1.55,0.00037937875348827675,0.00021402868654955495,0.9,0.0002658773169932196,0.00016438906297735678
