kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,0.1819059739200553,0.0011590095522540783,-4.5,0.1784163175661171,0.0011285436226989313,-4.0,0.16380124343317692,0.0010991832841213314,-3.2,0.12927122522389364,0.0008726531408435922,-2.95,0.09259340657103084,0.0006247896464773169,-2.7,0.06241286688518067,0.0004530581150870352
-2.0,0.17151717489856963,0.0011871048080954022,-2.5,0.16078265088254798,0.0010874241492693309,-2.4,0.12763487400044615,0.0009154319877970824,-2.0,0.08419236920109748,0.0005824021747428395,-1.95,0.06269019743721604,0.00045313330458316564,-1.9,0.04436062745302326,0.0003205102149402957
-1.0,0.1416747927448795,0.0010267927228852932,-1.5,0.1251588029324479,0.0008717294262706371,-1.6,0.09896668149890427,0.0006691569029107415,-1.4,0.06864243618478356,0.0004961993069266037,-1.45,0.05083877921081571,0.0003596158656559897,-1.5,0.03739688221480687,0.00026220855664680395
-0.5,0.12270329871442863,0.0008515698696689922,-1.0,0.1061790104460847,0.000739686750039512,-1.2,0.08633190078959659,0.0006102054365696956,-1.1,0.060834153787847976,0.00040770811218246905,-1.2,0.045377585430175914,0.0003005545143652969,-1.3,0.03426385277801949,0.00023321981695964002
0.0,0.1072896398947516,0.0007537778911768644,-0.5,0.09305323315169489,0.0006512958472397668,-0.8,0.0752048802190083,0.0005392746125348593,-0.8,0.054711929429458094,0.00037659168609488215,-0.95,0.04148875958438205,0.0003086081782349596,-1.1,0.03160134408615688,0.00022053713406251628
0.5,0.0944442851338654,0.0006537173232306947,0.0,0.07966314990629977,0.0005369191868517791,-0.4,0.06491103721622624,0.0004740220853553264,-0.5,0.04869414277531302,0.00034602036375701935,-0.7,0.037329091730131006,0.0002641367841986008,-0.9,0.028714422964891698,0.00020906170855132614
1.0,0.08724497915278072,0.0006253889700739934,0.5,0.06885969307604281,0.0004621943974144474,0.0,0.05743981365688698,0.0003839491548956556,-0.2,0.04406156842329083,0.00032285244180164154,-0.45,0.03428280959087237,0.000239750711007759,-0.7,0.026698909762229345,0.00018552226386176106
1.5,0.08071583131294982,0.0005537563509113928,1.0,0.06286620234787779,0.0004572674277850809,0.4,0.051737992381339054,0.00037023106751628174,0.1,0.039871647128028376,0.00028023863711056665,-0.2,0.031167505558284368,0.00021666060824417706,-0.5,0.024594860659996727,0.00017400638658812811
2.0,0.07913807354580252,0.0005544979401668987,1.5,0.05901689095947982,0.0004127306272568437,0.8,0.046857986525270366,0.0003216873836449203,0.4,0.03638344092799895,0.000261805690831936,0.05,0.02890933523798183,0.00021596064223393594,-0.3,0.022986041052418367,0.0001600308763500247
3.0,0.07561566984972105,0.0005387988203344202,2.5,0.05568837476111018,0.00039261142631436766,1.6,0.04176427827845475,0.00030447456431169633,1.0,0.03246000267220604,0.00022587490496243793,0.55,0.02498904294423431,0.0001723242631146843,0.1,0.020027341015972797,0.00013765295675993524
5.0,0.07518143671069712,0.0005150067103119068,4.5,0.053929618463930906,0.0003855393864159429,3.2,0.03927639858160996,0.00027903612709648056,2.2,0.0284729830509714,0.00020071515348786363,1.55,0.0210843509273746,0.0001425379076178201,0.9,0.0162638776146826,0.00011528674580257683
