kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,202.241,0.13962028532521492,-4.5,401.0174,0.09826331099346136,-4.0,801.0815,0.10356912501535465,-3.2,1600.344,0.09708234494046451,-2.95,3200.2655,0.10339902955687877,-2.7,6400.4307,0.09918477864105336
-2.0,201.223,0.14366858850773148,-2.5,400.5059,0.09927796935554033,-2.4,800.4154,0.1023983980730515,-2.0,1600.7588,0.09781982687799427,-1.95,3201.0213,0.10060256554896962,-1.9,6399.4063,0.10111449086369673
-1.0,199.3258,0.09847624190295512,-1.5,399.6024,0.10138829192416376,-1.6,800.1438,0.1014050639008468,-1.4,1600.041,0.09929283025541051,-1.45,3198.4453,0.1024347472904248,-1.5,6401.3829,0.09881041761058931
-0.5,198.4495,0.10346347285010454,-1.0,401.8598,0.10633870361315306,-1.2,799.9277,0.10012353217543646,-1.1,1598.6762,0.0947084222757399,-1.2,3200.7984,0.10214864228251923,-1.3,6399.6265,0.10021489935115041
0.0,199.8791,0.09901189958191291,-0.5,399.6845,0.09783999317259873,-0.8,801.1431,0.10601645866211755,-0.8,1599.4751,0.09948213011215876,-0.95,3200.1097,0.10081341432502221,-1.1,6399.7811,0.100086949281759
0.5,199.6907,0.10256680410573618,0.0,399.5829,0.09794590620159535,-0.4,799.6932,0.0994324570400585,-0.5,1599.7998,0.09997996179410623,-0.7,3201.4713,0.10118525540270612,-0.9,6400.0101,0.09996789204980441
1.0,197.9846,0.10036684396436603,0.5,401.5419,0.09737788030534772,0.0,798.9765,0.10044077082262688,-0.2,1599.179,0.09908368360308561,-0.45,3199.1862,0.10172867900391387,-0.7,6398.319,0.09987610084614543
1.5,200.8975,0.10283040321527173,1.0,400.6287,0.10051925620451009,0.4,799.6603,0.10388662964433415,0.1,1600.0941,0.10010258125749827,-0.2,3199.314,0.10033073179984622,-0.5,6400.424,0.09998618780768978
2.0,199.7532,0.0990067645457411,1.5,399.824,0.10154201223340158,0.8,800.5343,0.10290331990021666,0.4,1599.8005,0.10090360653143532,0.05,3199.143,0.10229944041988127,-0.3,6400.4874,0.09923694422366158
3.0,200.1603,0.09870111029737183,2.5,400.0621,0.09707900187086885,1.6,800.2577,0.10285892896150055,1.0,1600.2496,0.09917170895455615,0.55,3200.2313,0.09821585431094845,0.1,6401.243,0.09944581957926646
5.0,200.7753,0.09926603106039109,4.5,399.4759,0.10170332096468154,3.2,800.2415,0.10103457751925449,2.2,1601.176,0.09915008339904818,1.55,3199.8233,0.10076482265078406,0.9,6399.8959,0.09928677784890097
