kappa_200,value_200,error_200,kappa_400,value_400,error_400,kappa_800,value_800,error_800,kappa_1600,value_1600,error_1600,kappa_3200,value_3200,error_3200,kappa_6400,value_6400,error_6400
-4.0,9.962953630550754,0.10058166905376888,-4.5,9.929801475142067,0.07011499558239072,-4.0,10.069240125732971,0.07170933312407371,-3.2,9.927100217680549,0.06925392750284244,-2.95,10.058395840425463,0.06823749305418024,-2.7,10.05095516256878,0.07314889502967017
-2.0,10.181485022516428,0.09815454847813725,-2.5,10.045539133149976,0.07188842214117942,-2.4,9.95804996552596,0.06897934554425365,-2.0,10.02185942460942,0.0698542481312601,-1.95,9.963893527503329,0.07074497404049246,-1.9,9.960147627624622,0.06872227030795079
-1.0,9.956393289576987,0.07018109314372652,-1.5,10.001435752516294,0.0685577725869877,-1.6,9.983090091188043,0.07103843193818743,-1.4,10.032725679418125,0.07083211799842083,-1.45,9.999650354423451,0.07317700072425096,-1.5,10.007242481333607,0.06654431241684756
-0.5,9.899689395885787,0.06810804820024563,-1.0,10.006505732557073,0.07065358664117229,-1.2,10.012836680973079,0.07193355749729745,-1.1,9.825721756736451,0.06965839825059802,-1.2,9.972206472501108,0.0744293800165165,-1.3,9.823515047822214,0.07216817972460886
0.0,10.016741820655565,0.07305416083763641,-0.5,9.98126857279335,0.0712281659886372,-0.8,10.010756410701012,0.06869166869392958,-0.8,10.05363056506225,0.07167296735676139,-0.95,9.925810701489738,0.07147347679090653,-1.1,9.901877978886171,0.06838746464929234
0.5,10.142993716953303,0.07225704403998545,0.0,10.023311541971882,0.07138316752608756,-0.4,10.021991707828297,0.07177347189926678,-0.5,9.967208961662665,0.07113974506475931,-0.7,9.942256341299776,0.06849890362404244,-0.9,9.950472309389037,0.07099073358744833
1.0,10.040649595739831,0.07238370933812355,0.5,10.038950265951327,0.07090416766096354,0.0,10.049440127424388,0.07055126472324509,-0.2,10.016176485023509,0.07065428656776253,-0.45,10.033164804766239,0.06837075645767467,-0.7,9.996440960821424,0.07183159136076447
1.5,10.039176871498267,0.07272801109912672,1.0,9.946674315719514,0.07085236769536118,0.4,10.066371595252651,0.07295302177485385,0.1,10.026360156098422,0.07080398075915108,-0.2,10.08615769546093,0.07370836729179055,-0.5,9.991216464507415,0.07072445586340921
2.0,9.951622643535272,0.07219414257155551,1.5,10.067341214834908,0.07217561685877745,0.8,9.885524562186216,0.07148839575598538,0.4,9.90204548568022,0.0694773116744359,0.05,9.996736691263177,0.06951463437810254,-0.3,10.063993722025252,0.07040264041337943
3.0,9.901636640011342,0.07253813317193894,2.5,10.080585568831856,0.07022483007051825,1.6,9.975963246437379,0.07132941977329808,1.0,10.12121256245384,0.0728494154308472,0.55,10.022177643330387,0.0671718045213915,0.1,9.987748821063295,0.07283694291113513
5.0,10.02671747963119,0.0676759975428921,4.5,10.04701515084675,0.06530294998149373,3.2,9.973360744626369,0.06910237845660726,2.2,9.961573535076148,0.06840882715435581,1.55,10.054550537376143,0.06875900668387783,0.9,10.000153173644375,0.07434652815595902
